{PERIODS};ELECTRICITY_VAR;HEAT_LOW_T_SH;SPACE_COOLING;MOBILITY_PASSENGER;MOBILITY_FREIGHT;PV_ROOFTOP;PV_UTILITY;WIND_ONSHORE;WIND_OFFSHORE;HYDRO_DAM;HYDRO_RIVER;TIDAL;DHN_SOLAR;DEC_SOLAR;PT_COLLECTOR;ST_COLLECTOR
1;6.99E-05;0.0004000817611114;0;5.87E-06;0.000114155;0;0;0.556498640361789;0.73962944330229;0.305475876320982;0.305475876320982;0.039802421;0;0;0;0
2;5.93E-05;0.0004000817611114;0;2.35E-06;0.000114155;0;0;0.556498640361789;0.73962944330229;0.305475876320982;0.305475876320982;0.175270029;0;0;0;0
3;4.82E-05;0.0004000817611114;0;1.17E-06;0.000114155;0;0;0.556498640361789;0.73962944330229;0.305475876320982;0.305475876320982;0.22268354;0;0;0;0
4;3.98E-05;0.0004000817611114;0;1.41E-05;0.000114155;0;0;0.556498640361789;0.73962944330229;0.305475876320982;0.305475876320982;0.140092053;0;0;0;0
5;3.53E-05;0.000402547445076;0;3.76E-05;0.000114155;0;0;0.577508388117466;0.7717270366925;0.305475876320982;0.305475876320982;0.041146591;0;0;0;0
6;3.43E-05;0.0004052704048703;0;9.40E-05;0.000114155;0;0;0.586235606207772;0.792024500714765;0.305475876320982;0.305475876320982;0.00135751;0;0;0;0
7;3.73E-05;0.0004048172509933;0;0.0001821;0.000114155;0;0;0.60155559644501;0.852732149574323;0.305475876320982;0.305475876320982;0.005310054;0;0;0;0
8;4.08E-05;0.0004049755255542;0;0.000158603;0.000114155;0.00260398561454009;0.00260398561454009;0.612691089900149;0.893243086578467;0.305475876320982;0.305475876320982;0.068734206;0.00170630317463552;0.00170630317463552;0.0028643841759941;0.0028643841759941
9;4.33E-05;0.0004012102905979;0;0.000146855;0.000114155;0.0453372495388676;0.0453372495388676;0.59902131570313;0.863150821003428;0.305475876320982;0.305475876320982;0.098975393;0.028269718298699;0.028269718298699;0.0498709744927544;0.0498709744927544
10;5.53E-05;0.0003793541671085;0;0.000164478;0.000114155;0.134412157453385;0.134412157453385;0.554345236372425;0.763745440401594;0.305475876320982;0.305475876320982;0.064153486;0.0991177805559705;0.0991177805559705;0.147853373198724;0.147853373198724
11;6.83E-05;0.0003511485781144;0;0.000187974;0.000114155;0.240403671913652;0.240403671913652;0.500190485849536;0.660908108003322;0.305475876320982;0.305475876320982;0.022253443;0.181849012413064;0.181849012413064;0.264444039105017;0.264444039105017
12;8.17E-05;0.0003267097112201;0;0.000206772;0.000114155;0.298621350295953;0.298621350295953;0.48408413588948;0.612895973796112;0.305475876320982;0.305475876320982;0.001337349;0.238164452375147;0.238164452375147;0.328483485325548;0.328483485325548
13;8.92E-05;0.0003070879146526;0;0.000187974;0.000114155;0.316123853605093;0.316123853605093;0.487154936100088;0.58815440104209;0.305475876320982;0.305475876320982;0.046976286;0.259694017455226;0.259694017455226;0.347736238965602;0.347736238965602
14;9.39E-05;0.0002935300520329;0;0.000190324;0.000114155;0.299597844901456;0.299597844901456;0.495867788835957;0.578708468236279;0.305475876320982;0.305475876320982;0.203356673;0.247084129679787;0.247084129679787;0.329557629391602;0.329557629391602
