"Phase","B","G","H"
"2019_2021",0.15,0.35,0.49
"2021_2026",0.21,0.29,0.5
"2026_2031",0.27,0.23,0.5
"2031_2036",0.32,0.19,0.49
"2036_2041",0.36,0.17,0.48
"2041_2046",0.39,0.15,0.46
"2046_2051",0.41,0.14,0.45
