,capex_F_COP,capex_F_FX,opex_F_COP,opex_F_FX,capex_B_COP,capex_B_FX,opex_B_COP,opex_B_FX,capex_G_COP,capex_G_FX,opex_G_COP,opex_G_FX,capex_H_COP,capex_H_FX,opex_H_COP,opex_H_FX
2015_2020,0.0,154074.4,,,0.0,243.3,,,0.0,76443.9,,,0.0,49460.6,,
2020_2025,0.0,26050.9,90600.5,0.8,0.0,54.6,62.3,0.0,0.0,10036.1,79.8,0.0,0.0,5562.5,15192.5,0.0
2025_2030,0.0,28674.6,68829.5,0.0,0.0,53.2,50.4,0.0,0.0,10351.2,41.4,0.0,0.0,67556.8,12128.0,0.0
2030_2035,0.0,98230.9,59109.7,0.0,0.0,95.4,53.5,0.0,0.0,15270.9,31.2,0.0,0.0,14287.8,8560.5,0.0
2035_2040,0.0,34088.3,55748.6,0.0,0.0,132.4,59.6,0.0,0.0,7068.0,28.9,0.0,0.0,63929.6,8919.7,0.0
2040_2045,0.0,60482.0,56694.8,0.0,0.0,54.9,68.6,0.0,0.0,19594.0,28.2,0.0,0.0,18479.1,9500.2,0.0
2045_2050,0.0,132318.4,55574.8,0.0,0.0,168.9,72.2,0.0,0.0,25475.2,22.6,0.0,0.0,68100.5,10111.8,0.0
