{PERIODS};Electricity (%_elec);Space Heating (%_sh);Space Cooling (%_sc);Passanger mobility (%_pass);Freight mobility (%_freight);PV;Wind_onshore;Wind_offshore;Hydro_river;Hydro_dam;Solar
1;9.12E-05;0.0004000817611114;0;5.87E-06;0.000114155;0;0.556498640361789;0.73962944330229;0.305475876320982;0.305475876320982;0
2;7.14E-05;0.0004000817611114;0;2.35E-06;0.000114155;0;0.556498640361789;0.73962944330229;0.305475876320982;0.305475876320982;0
3;5.28E-05;0.0004000817611114;0;1.17E-06;0.000114155;0;0.556498640361789;0.73962944330229;0.305475876320982;0.305475876320982;0
4;3.76E-05;0.0004000817611114;0;1.41E-05;0.000114155;0;0.556498640361789;0.73962944330229;0.305475876320982;0.305475876320982;0
5;3.10E-05;0.000402547445076;0;3.76E-05;0.000114155;0;0.577508388117466;0.7717270366925;0.305475876320982;0.305475876320982;0
6;3.01E-05;0.0004052704048703;0;9.40E-05;0.000114155;0;0.586235606207772;0.792024500714765;0.305475876320982;0.305475876320982;0
7;3.15E-05;0.0004048172509933;0;0.0001821;0.000114155;0;0.60155559644501;0.852732149574323;0.305475876320982;0.305475876320982;0
8;2.30E-05;0.0004049755255542;0;0.000158603;0.000114155;0.00260398561454009;0.612691089900149;0.893243086578467;0.305475876320982;0.305475876320982;0
9;2.38E-05;0.0004012102905979;0;0.000146855;0.000114155;0.0453372495388676;0.59902131570313;0.863150821003428;0.305475876320982;0.305475876320982;0
10;2.89E-05;0.0003793541671085;0;0.000164478;0.000114155;0.134412157453385;0.554345236372425;0.763745440401594;0.305475876320982;0.305475876320982;0
11;4.27E-05;0.0003511485781144;0;0.000187974;0.000114155;0.240403671913652;0.500190485849536;0.660908108003322;0.305475876320982;0.305475876320982;0
12;5.69E-05;0.0003267097112201;0;0.000206772;0.000114155;0.298621350295953;0.48408413588948;0.612895973796112;0.305475876320982;0.305475876320982;0
13;6.55E-05;0.0003070879146526;0;0.000187974;0.000114155;0.316123853605093;0.487154936100088;0.58815440104209;0.305475876320982;0.305475876320982;0
14;6.62E-05;0.0002935300520329;0;0.000190324;0.000114155;0.299597844901456;0.495867788835957;0.578708468236279;0.305475876320982;0.305475876320982;0
15;6.11E-05;0.0002860095672268;0;0.000213821;0.000114155;0.248448127472937;0.504227591604475;0.581316603273091;0.305475876320982;0.305475876320982;0
16;5.98E-05;0.0002862942489873;0;0.00022322;0.000114155;0.165148487653499;0.501875738415461;0.583216617818415;0.305475876320982;0.305475876320982;0
17;6.44E-05;0.0002989251962927;0;0.00022322;0.000114155;0.0620678571122876;0.509214339849946;0.613404740718373;0.305475876320982;0.305475876320982;0
18;8.79E-05;0.0003199750755425;0;0.000164478;0.000114155;0.00192508936503499;0.55090942408668;0.695399872498767;0.305475876320982;0.305475876320982;0
19;9.59E-05;0.0003312115071195;0;0.000117484;0.000114155;0;0.581227550796304;0.759716985346079;0.305475876320982;0.305475876320982;0
20;9.32E-05;0.0003347585568758;0;8.81E-05;0.000114155;0;0.608006333449538;0.857960397178912;0.305475876320982;0.305475876320982;0
21;8.52E-05;0.0003361989616044;0;5.87E-05;0.000114155;0;0.602394795124269;0.90082897938314;0.305475876320982;0.305475876320982;0
22;7.64E-05;0.0003366353320044;0;3.76E-05;0.000114155;0;0.586855565436207;0.925228728996247;0.305475876320982;0.305475876320982;0
23;9.24E-05;0.0003371492463169;0;2.35E-05;0.000114155;0;0.561429145051153;0.925832352025539;0.305475876320982;0.305475876320982;0
24;9.26E-05;0.0003379435934083;0;9.40E-06;0.000114155;0;0.556859186944144;0.950496979344496;0.305475876320982;0.305475876320982;0
25;6.64E-05;0.0003379659005612;0;5.87E-06;0.000114155;0;0.547493073230013;0.947513016847293;0.27414922139959;0.27414922139959;0
26;4.77E-05;0.0003369697268485;0;2.35E-06;0.000114155;0;0.535523498820854;0.929363646867835;0.27414922139959;0.27414922139959;0
27;3.25E-05;0.0003358418347093;0;1.17E-06;0.000114155;0;0.519783167701527;0.902138572140168;0.27414922139959;0.27414922139959;0
28;2.38E-05;0.0003361556219931;0;1.41E-05;0.000114155;0;0.498634581013939;0.903713302178174;0.27414922139959;0.27414922139959;0
29;2.57E-05;0.000337962501376;0;3.76E-05;0.000114155;0;0.469637501290678;0.886395907028708;0.27414922139959;0.27414922139959;0
30;4.10E-05;0.0003416939569294;0;9.40E-05;0.000114155;0;0.445051486620785;0.872304954471863;0.27414922139959;0.27414922139959;0
