Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	IMPORTED_GAS	WOOD	WET_BIOMASS	IMPORTED_COAL	LOCAL_COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	PT_HEAT	ST_HEAT	NUCLEAR	CCGT	CCGT_AMMONIA	IMPORTED_COAL_CENTRAL	LOCAL_COAL_CENTRAL	BIOMASS_TO_POWER	PV_ROOFTOP	PV_UTILITY	PT_POWER_BLOCK	ST_POWER_BLOCK	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_DAM	HYDRO_RIVER	TIDAL	WAVE	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	COAL_STOVE	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	DEC_THHP_GAS_COLD	DEC_ELEC_COLD	IND_ELEC_COLD	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_GASOLINE	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	MOTORCYCLE	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	MOTORCYCLE_ELECTRIC	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRUCK_DIESEL	TRUCK_GASOLINE	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	SYN_METHANOLATION	METHANE_TO_METHANOL	BIOMASS_TO_METHANOL	EFFICIENCY	H2_INFRASTRUCTURE	CHARGING_STATION	DHN	GRID	HVAC_LINE	PT_COLLECTOR	ST_COLLECTOR	H2_ELECTROLYSIS	SMR	H2_BIOMASS	GASIFICATION_SNG	SYN_METHANATION	BIOMETHANATION	BIO_HYDROLYSIS	PYROLYSIS_TO_LFO	PYROLYSIS_TO_FUELS	ATM_CCS	INDUSTRY_CCS	AMMONIA_TO_H2	DAM_STORAGE_Pin	DAM_STORAGE_Pout	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_COAL_STOVE_Pin	TS_COAL_STOVE_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	PT_STORAGE_Pin	PT_STORAGE_Pout	ST_STORAGE_Pin	ST_STORAGE_Pout	TS_COLD_Pin	TS_COLD_Pout	CAES_Pin	CAES_Pout	END_USE	
 1 	 1																		0.000000		7.239942																																																																											-0.000000												-0.000000								-7.241057	0.000001	0.000000	0.000009																																																																							-0.011970	0.013074											0.000000	
 1 	 2																		0.000000		7.240596																																																																											-0.000000												-0.000000								-7.241057	0.000001	0.000000	0.000009																																																																							-0.012281	0.012731											0.000000	
 1 	 3																		0.000000		7.241215																																																																											-0.000000												-0.000000								-7.241057	0.000001	0.000001	0.000009																																																																							-0.012461	0.012293											0.000000	
 1 	 4																		0.000000		7.241424																																																																											-0.000000												-0.000000								-7.241057	0.000001	0.000000	0.000009																																																																							-0.012536	0.012158											0.000000	
 1 	 5																		0.000000		7.240917																																																																											-0.000000												-0.000000								-7.241057	0.000001	0.000000	0.000009																																																																							-0.012432	0.012562											0.000000	
 1 	 6																		0.000000		7.240742																																																																											-0.000000												-0.000000								-7.241057	0.000001	0.000000	0.000009																																																																							-0.012351	0.012654											0.000000	
 1 	 7																		0.000000		7.240679																																																																											-0.000000												-0.000000								-7.241057	0.000001	0.000000	0.000009																																																																							-0.012152	0.012519											0.000000	
 1 	 8																		0.000000		7.240763																																																																											-0.000000												-0.000000								-7.241057	0.000001	0.000000	0.000009																																																																							-0.012364	0.012646											0.000000	
 1 	 9																		0.000000		7.240918																																																																											-0.000000												-0.000000								-7.241057	0.000001	0.000000	0.000009																																																																							-0.012441	0.012569											0.000000	
 1 	 10																		0.000000		7.241156																																																																											-0.000000												-0.000000								-7.241057	0.000001	0.000000	0.000009																																																																							-0.012396	0.012287											0.000000	
 1 	 11																		0.000000		7.241772																																																																											-0.000000												-0.000000								-7.241057	0.000001	0.000000	0.000009																																																																							-0.012751	0.012025											0.000000	
 1 	 12																		0.000000		7.241251																																																																											-0.000000												-0.000000								-7.241057	0.000001	0.000000	0.000009																																																																							-0.012456	0.012251											0.000000	
 1 	 13																		0.000000		7.240771																																																																											-0.000000												-0.000000								-7.241057	0.000001	0.000000	0.000009																																																																							-0.012202	0.012477											0.000000	
 1 	 14																		0.000000		7.240430																																																																											-0.000000												-0.000000								-7.241057	0.000001	0.000000	0.000009																																																																							-0.012027	0.012643											0.000000	
 1 	 15																		0.000000		7.240144																																																																											-0.000000												-0.000000								-7.241057	0.000001	0.000000	0.000009																																																																							-0.011879	0.012781											0.000000	
 1 	 16																		0.000000		7.239879																																																																											-0.000000												-0.000000								-7.241057	0.000001	0.000000	0.000009																																																																							-0.011747	0.012914											0.000000	
 1 	 17																		0.000000		7.239706																																																																											-0.000000												-0.000000								-7.241057	0.000001	0.000000	0.000009																																																																							-0.011673	0.013013											0.000000	
 1 	 18																		0.000000		7.239904																																																																											-0.000000												-0.000000								-7.241057	0.000001	0.000000	0.000009																																																																							-0.011775	0.012918											0.000000	
 1 	 19																		0.000000		7.240016																																																																											-0.000000												-0.000000								-7.241057	0.000001	0.000000	0.000009																																																																							-0.012015	0.013046											0.000000	
 1 	 20																		0.000000		7.240203																																																																											-0.000000												-0.000000								-7.241057	0.000001	0.000000	0.000009																																																																							-0.012107	0.012951											0.000000	
 1 	 21																		0.000000		7.240255																																																																											-0.000000												-0.000000								-7.241057	0.000001	0.000000	0.000009																																																																							-0.012135	0.012927											0.000000	
 1 	 22																		0.000000		7.240174																																																																											-0.000000												-0.000000								-7.241057	0.000001	0.000000	0.000009																																																																							-0.012100	0.012973											0.000000	
 1 	 23																		0.000000		7.240014																																																																											-0.000000												-0.000000								-7.241057	0.000001	0.000000	0.000009																																																																							-0.012026	0.013058											0.000000	
 1 	 24																		0.000000		7.240434																																																																											-0.000000												-0.000000								-7.241057	0.000001	0.000000	0.000009																																																																							-0.012206	0.012818											0.000000	
 2 	 1																		0.000000		7.239796																																																																											-0.000000												-0.000000								-7.241058	0.000000	0.000000	0.000010																																																																							-0.011927	0.013179											0.000000	
 2 	 2																		0.000000		7.240718																																																																											-0.000000												-0.000000								-7.241058	0.000000	0.000000	0.000010																																																																							-0.012400	0.012729											0.000000	
 2 	 3																		0.000000		7.241767																																																																											-0.000000												-0.000000								-7.241058	0.000000	0.000000	0.000010																																																																							-0.012739	0.012020											0.000000	
 2 	 4																		0.000000		7.243828																																																																											-0.000000												-0.000000								-7.241058	0.000000	0.000000	0.000010																																																																							-0.013940	0.011160											0.000000	
 2 	 5																		0.000000		7.242886																																																																											-0.000000												-0.000000								-7.241058	0.000000	0.000000	0.000010																																																																							-0.013436	0.011598											0.000000	
 2 	 6																		0.000000		7.242212																																																																											-0.000000												-0.000000								-7.241058	0.000000	0.000000	0.000010																																																																							-0.013094	0.011930											0.000000	
 2 	 7																		0.000000		7.241839																																																																											-0.000000												-0.000000								-7.241058	0.000000	0.000000	0.000010																																																																							-0.012736	0.011945											0.000000	
 2 	 8																		0.000000		7.241878																																																																											-0.000000												-0.000000								-7.241058	0.000000	0.000000	0.000010																																																																							-0.012911	0.012081											0.000000	
 2 	 9																		0.000000		7.241924																																																																											-0.000000												-0.000000								-7.241058	0.000001	0.000000	0.000010																																																																							-0.012911	0.012034											0.000000	
