Category;Subcategory;parameter name;HOUSEHOLDS;SERVICES;INDUSTRY;TRANSPORTATION;Units
Electricity;baseload;ELECTRICITY;40514.2;51705.4;184477.9;0;[GWh]
Electricity;variable;ELECTRICITY_VAR;20831;38524;58028.4;0;[GWh]
Heat;high temperature;HEAT_HIGH_T;0;0;151944.3;0;[GWh]
Heat;space heating;HEAT_LOW_T_SH;78285.1;23149.2;125425.2;0;[GWh]
Heat;hot water;HEAT_LOW_T_HW;6523.7;0;62712.6;0;[GWh]
Cold;process cooling;PROCESS_COOLING;0;0;2104.6;0;[GWh]
Cold;space cooling;SPACE_COOLING;19364.3;19152.1;0;0;[GWh]
Mobility;passenger;MOBILITY_PASSENGER;0;0;0;4905460;[Mpkm]
Mobility;freight;MOBILITY_FREIGHT;0;0;0;1378832;[Mtkm]
Non energy;Non energy;NON_ENERGY;0;0;169876.6;0;[GWh]
