TECHNOLOGIES	 c_inv	 c_maint	 lifetime	  f_min	 f	 f_max	 fmin_perc	f_perc	 fmax_perc	 c_p	 c_p_max	 tau	 gwp_constr
 UNITS	[M€/GW]	 [M€/GW/y]	 [y]	 [GW or GWh]	 [GW or GWh]	 [GW or GWh]	 [0-1]	 [0-1]	 [0-1]	 [0-1]	 [0-1]	 [-]	 [ktCO2-eq./GW or GWh] 
CAR_PHEV	0.006660	0.000491	10.000000	0.000000	0.000014	Infinity	0.000000	0.000000	1.000000	0.004697	0.051370	0.138454	0.000000
MOTORCYCLE_ELECTRIC	62904.873664	1025.076975	10.000000	0.000000	205.015395	Infinity	0.000000	0.520000	0.520000	0.051370	0.051370	0.138454	0.000000
CAR_BEV	78474.213239	1892.449737	10.000000	0.000000	189.244974	Infinity	0.000000	0.480000	1.000000	0.051370	0.051370	0.138454	0.000000
CAR_FUEL_CELL	0.000038	0.000001	10.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000046	0.051370	0.138454	0.000000
TRAIN_FREIGHT	1735.781330	34.714159	40.000000	0.000000	16.623073	Infinity	0.000000	1.000000	1.000000	0.342466	0.342466	0.069840	0.000000
BOAT_FREIGHT_DIESEL	0.000622	0.000030	40.000000	0.000000	0.000008	Infinity	0.000000	0.000000	1.000000	0.008986	0.114155	0.069840	0.000000
BOAT_FREIGHT_NG	5219.644443	253.963592	40.000000	0.000000	66.492286	Infinity	0.000000	1.000000	1.000000	0.114155	0.114155	0.069840	0.000000
BOAT_FREIGHT_METHANOL	0.000002	0.000000	40.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000048	0.114155	0.069840	0.000000
TRUCK_DIESEL	0.000002	0.000000	15.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000006	0.092593	0.105671	0.000000
TRUCK_GASOLINE	0.000002	0.000000	15.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000003	0.092593	0.105671	0.000000
TRUCK_METHANOL	0.000002	0.000000	15.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000009	0.092593	0.105671	0.000000
TRUCK_FUEL_CELL	24890.000796	741.890035	15.000000	0.000000	61.482600	Infinity	0.000000	1.000000	1.000000	0.092593	0.092593	0.105671	0.000000
TRUCK_ELEC	0.000004	0.000000	15.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000015	0.092593	0.105671	0.000000
TRUCK_NG	0.000012	0.000001	15.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000033	0.092593	0.105671	0.000000
HABER_BOSCH	0.000215	0.000004	20.000000	0.000000	0.000000	Infinity	0.000000	1.000000	1.000000	0.000916	1.000000	0.090037	0.000000
OIL_TO_HVC	0.000167	0.000001	15.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000645	1.000000	0.105671	0.000000
GAS_TO_HVC	0.000149	0.000003	25.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000162	1.000000	0.081224	0.000000
BIOMASS_TO_HVC	3515.765619	104.888016	20.000000	0.000000	2.881539	Infinity	0.000000	0.662195	1.000000	1.000000	1.000000	0.090037	0.000000
METHANOL_TO_HVC	948.122032	85.330587	20.000000	0.000000	1.469957	Infinity	0.000000	0.337805	1.000000	1.000000	1.000000	0.090037	0.000000
SYN_METHANOLATION	770.534238	21.866008	20.000000	0.000000	0.805097	Infinity	0.000000	0.419219	1.000000	0.950000	0.950000	0.090037	0.000000
METHANE_TO_METHANOL	0.000144	0.000006	25.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000491	0.850000	0.081224	0.000000
BIOMASS_TO_METHANOL	1869.138315	28.556280	20.000000	0.000000	1.059602	Infinity	0.000000	0.580781	1.000000	1.000000	1.000000	0.090037	0.000000
DAM_STORAGE	0.000000	0.000000	1.000000	20868.855009	20868.855358	114447.876657	0.000000	-1.000000	1.000000	0.000087	1.000000	1.064000	
PHS	0.000000	0.000000	50.000000	0.000000	0.000000	0.000000	0.000000	-1.000000	1.000000	0.000000	1.000000	0.067014	
BATT_LI	0.003684	0.000006	15.000000	0.000000	0.000024	Infinity	0.000000	-1.000000	1.000000	0.008911	1.000000	0.105671	
BEV_BATT	0.000000	0.000000	1.000000	0.000000	187.743029	Infinity	0.000000	-1.000000	1.000000	0.003891	1.000000	1.064000	
PHEV_BATT	0.000000	0.000000	1.000000	0.000000	0.000003	Infinity	0.000000	-1.000000	1.000000	0.000203	1.000000	1.064000	
TS_DEC_DIRECT_ELEC	646.871521	4.432962	25.000000	0.000000	34.099711	Infinity	0.000000	-1.000000	1.000000	0.032997	1.000000	0.081224	
TS_DEC_HP_ELEC	1555.052554	10.656660	25.000000	0.000000	81.974304	Infinity	0.000000	-1.000000	1.000000	0.031421	1.000000	0.081224	
TS_DEC_THHP_GAS	0.000654	0.000004	25.000000	0.000000	0.000034	Infinity	0.000000	-1.000000	1.000000	0.002420	1.000000	0.081224	
TS_DEC_COGEN_GAS	0.000650	0.000004	25.000000	0.000000	0.000034	Infinity	0.000000	-1.000000	1.000000	0.000890	1.000000	0.081224	
TS_DEC_COGEN_OIL	0.000649	0.000004	25.000000	0.000000	0.000034	Infinity	0.000000	-1.000000	1.000000	0.000837	1.000000	0.081224	
TS_DEC_ADVCOGEN_GAS	0.000645	0.000004	25.000000	0.000000	0.000034	Infinity	0.000000	-1.000000	1.000000	0.000615	1.000000	0.081224	
TS_DEC_ADVCOGEN_H2	0.000653	0.000004	25.000000	0.000000	0.000034	Infinity	0.000000	-1.000000	1.000000	0.000673	1.000000	0.081224	
TS_DEC_BOILER_GAS	0.000653	0.000004	25.000000	0.000000	0.000034	Infinity	0.000000	-1.000000	1.000000	0.001411	1.000000	0.081224	
TS_DEC_BOILER_WOOD	0.000653	0.000004	25.000000	0.000000	0.000034	Infinity	0.000000	-1.000000	1.000000	0.001919	1.000000	0.081224	
TS_COAL_STOVE	0.007358	0.000050	25.000000	0.000000	0.000388	Infinity	0.000000	-1.000000	1.000000	0.002840	1.000000	0.081224	
TS_DEC_BOILER_OIL	0.000651	0.000004	25.000000	0.000000	0.000034	Infinity	0.000000	-1.000000	1.000000	0.001164	1.000000	0.081224	
TS_DHN_DAILY	0.000984	0.000003	40.000000	0.000000	0.000328	Infinity	0.000000	-1.000000	1.000000	0.001170	1.000000	0.069840	
TS_DHN_SEASONAL	1604.735474	0.000000	25.000000	0.000000	2971.732360	Infinity	0.000000	-1.000000	1.000000	0.000954	1.000000	0.081224	
TS_HIGH_TEMP	3573.717333	38.248848	25.000000	0.000000	127.496159	Infinity	0.000000	-1.000000	1.000000	0.041237	1.000000	0.081224	
GAS_STORAGE	1238.763846	0.000000	30.000000	0.000000	24775.276927	Infinity	0.000000	-1.000000	1.000000	0.000149	1.000000	0.075785	
H2_STORAGE	282.075870	1.367088	20.000000	0.000000	45.569607	Infinity	0.000000	-1.000000	1.000000	0.023502	1.000000	0.090037	
DIESEL_STORAGE	0.007914	0.000000	20.000000	0.000000	0.791431	Infinity	0.000000	-1.000000	1.000000	0.000000	1.000000	0.090037	
GASOLINE_STORAGE	0.007880	0.000000	20.000000	0.000000	0.788040	Infinity	0.000000	-1.000000	1.000000	0.000000	1.000000	0.090037	
LFO_STORAGE	0.007859	0.000000	20.000000	0.000000	0.785921	Infinity	0.000000	-1.000000	1.000000	0.000000	1.000000	0.090037	
AMMONIA_STORAGE	0.007856	0.000000	20.000000	0.000000	0.785631	Infinity	0.000000	-1.000000	1.000000	0.000000	1.000000	0.090037	
METHANOL_STORAGE	2.022519	0.000000	20.000000	0.000000	202.251913	Infinity	0.000000	-1.000000	1.000000	0.000187	1.000000	0.090037	
CO2_STORAGE	1.624038	0.016240	20.000000	0.000000	0.032809	Infinity	0.000000	-1.000000	1.000000	0.053250	1.000000	0.090037	
PT_STORAGE	0.008945	0.000090	25.000000	0.000000	0.000242	Infinity	0.000000	-1.000000	1.000000	0.000419	1.000000	0.081224	
ST_STORAGE	0.008430	0.000084	25.000000	0.000000	0.000441	Infinity	0.000000	-1.000000	1.000000	0.000226	1.000000	0.081224	
TS_COLD	43.595243	0.523143	20.000000	0.000000	1.743810	Infinity	0.000000	-1.000000	1.000000	0.031036	1.000000	0.090037	
CAES	0.000000	0.000000	50.000000	0.000000	0.000000	0.000000	0.000000	-1.000000	1.000000	0.000000	1.000000	0.067014	
EFFICIENCY	0.000000	0.000000	1.000000	0.000000	0.939850	Infinity	0.000000	-1.000000	1.000000	0.000000	1.000000	1.064000	
DHN	5260.849002	0.000000	60.000000	0.000000	6.369992	Infinity	0.000000	-1.000000	1.000000	0.000000	1.000000	0.065586	
GRID	502619.877660	0.000000	80.000000	0.000000	1.125954	Infinity	0.000000	-1.000000	1.000000	0.000000	1.000000	0.064451	
HVAC_LINE	0.000221	0.000004	40.000000	0.000000	0.000000	1.500000	0.000000	-1.000000	1.000000	0.000000	1.000000	0.069840	
