TECHNOLOGIES	 c_inv	 c_maint	 lifetime	  f_min	 f	 f_max	 fmin_perc	f_perc	 fmax_perc	 c_p	 c_p_max	 tau	 gwp_constr
 UNITS	[M€/GW]	 [M€/GW/y]	 [y]	 [GW or GWh]	 [GW or GWh]	 [GW or GWh]	 [0-1]	 [0-1]	 [0-1]	 [0-1]	 [0-1]	 [-]	 [ktCO2-eq./GW or GWh] 
CAR_PHEV	0.000000	0.000000	10.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.051000	0.138454	0.000000
MOTORCYCLE_ELECTRIC	0.000000	0.000000	10.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.051000	0.138454	0.000000
CAR_BEV	0.000000	0.000000	10.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.051000	0.138454	0.000000
CAR_FUEL_CELL	0.000000	0.000000	10.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.051000	0.138454	0.000000
TRAIN_FREIGHT	715.706849	14.313532	40.000000	0.000000	6.854117	Infinity	0.000000	1.000000	1.000000	0.342000	0.342000	0.069840	0.000000
BOAT_FREIGHT_DIESEL	636.610344	33.658608	40.000000	0.000000	8.812436	Infinity	0.000000	1.000000	1.000000	0.114000	0.114000	0.069840	0.000000
BOAT_FREIGHT_NG	0.000000	0.000000	40.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.114000	0.069840	0.000000
BOAT_FREIGHT_METHANOL	0.000000	0.000000	40.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.114000	0.069840	0.000000
TRUCK_DIESEL	14743.934309	779.502215	15.000000	0.000000	42.009101	Infinity	0.500000	0.500000	1.000000	0.093000	0.093000	0.105671	0.000000
TRUCK_GASOLINE	14745.194582	781.369286	15.000000	0.000000	42.009101	Infinity	0.500000	0.500000	1.000000	0.093000	0.093000	0.105671	0.000000
TRUCK_METHANOL	0.000000	0.000000	15.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.093000	0.105671	0.000000
TRUCK_FUEL_CELL	0.000000	0.000000	15.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.093000	0.105671	0.000000
TRUCK_ELEC	0.000000	0.000000	15.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.093000	0.105671	0.000000
TRUCK_NG	0.000000	0.000000	15.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.093000	0.105671	0.000000
HABER_BOSCH	0.000256	0.000004	20.000000	0.000000	0.000000	Infinity	0.000000	1.000000	1.000000	0.000731	0.994000	0.090037	0.000000
OIL_TO_HVC	1157.660535	5.407824	15.000000	0.000000	2.575154	Infinity	0.000000	1.000000	1.000000	0.994000	0.994000	0.105671	0.000000
GAS_TO_HVC	0.000000	0.000000	25.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.994000	0.081224	0.000000
BIOMASS_TO_HVC	0.000000	0.000000	20.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.994000	0.090037	0.000000
METHANOL_TO_HVC	0.000000	0.000000	20.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.994000	0.090037	0.000000
METHANE_TO_METHANOL	0.000171	0.000005	25.000000	0.000000	0.000000	Infinity	0.000000	0.428879	1.000000	0.000005	0.845000	0.081224	0.000000
BIOMASS_TO_METHANOL	0.000185	0.000001	20.000000	0.000000	0.000000	Infinity	0.000000	0.546255	1.000000	0.000006	0.994000	0.090037	0.000000
DAM_STORAGE	0.000000	0.000000	40.000000	18181.000000	18189.930740	18189.938540	0.000000	-1.000000	1.000000	0.000057	1.000000	0.069840	
