"Phase","F","B","G","H"
"2019_2021",0.66,0.02,0.05,0.26
"2021_2026",0.61,0.04,0.05,0.31
"2026_2031",0.55,0.05,0.04,0.35
"2031_2036",0.51,0.07,0.04,0.38
"2036_2041",0.48,0.08,0.04,0.4
"2041_2046",0.46,0.09,0.04,0.41
"2046_2051",0.44,0.11,0.03,0.42
