"Category","Subcategory","parameter_name","HOUSEHOLDS","SERVICES","INDUSTRY","TRANSPORTATION","Units"
"Electricity","baseload","ELECTRICITY",9820,26287,71890,0,"[GWh]"
"Electricity","variable","ELECTRICITY_VAR",5059,19830,22702,0,"[GWh]"
"Heat","high temperature","HEAT_HIGH_T",0,0,53531,0,"[GWh]"
"Heat","space heating","HEAT_LOW_T_SH",17150,10686,33534,0,"[GWh]"
"Heat","hot water","HEAT_LOW_T_HW",1430,0,16767,0,"[GWh]"
"Cold","process cooling","PROCESS_COOLING",0,0,564,0,"[GWh]"
"Cold","space cooling","SPACE_COOLING",3214,6698,0,0,"[GWh]"
"Mobility","passenger","MOBILITY_PASSENGER",0,0,0,437402,"[Mpkm]"
"Mobility","freight","MOBILITY_FREIGHT",0,0,0,193047,"[Mtkm]"
"Non energy","Non energy","NON_ENERGY",0,0,55779,0,"[GWh]"
