"Category","Subcategory","parameter_name","HOUSEHOLDS","SERVICES","INDUSTRY","TRANSPORTATION","Units"
"Electricity","baseload","ELECTRICITY",9408,16593,50403,0,"[GWh]"
"Electricity","variable","ELECTRICITY_VAR",4847,12518,15917,0,"[GWh]"
"Heat","high temperature","HEAT_HIGH_T",0,0,37533,0,"[GWh]"
"Heat","space heating","HEAT_LOW_T_SH",16430,6745,26193,0,"[GWh]"
"Heat","hot water","HEAT_LOW_T_HW",1370,0,13098,0,"[GWh]"
"Cold","process cooling","PROCESS_COOLING",0,0,393,0,"[GWh]"
"Cold","space cooling","SPACE_COOLING",3079,4228,0,0,"[GWh]"
"Mobility","passenger","MOBILITY_PASSENGER",0,0,0,419061,"[Mpkm]"
"Mobility","freight","MOBILITY_FREIGHT",0,0,0,136321,"[Mtkm]"
"Non energy","Non energy","NON_ENERGY",0,0,35804,0,"[GWh]"
