"Category","Subcategory","parameter_name","HOUSEHOLDS","SERVICES","INDUSTRY","TRANSPORTATION","Units"
"Electricity","baseload","ELECTRICITY",20919.3,11413.6,54455.3,0,"[GWh]"
"Electricity","variable","ELECTRICITY_VAR",10776.6,8610.3,17196.4,0,"[GWh]"
"Heat","high temperature","HEAT_HIGH_T",0,0,40550.4,0,"[GWh]"
"Heat","space heating","HEAT_LOW_T_SH",36535.5,4639.8,29201.1,0,"[GWh]"
"Heat","hot water","HEAT_LOW_T_HW",3044.7,0,14601.2,0,"[GWh]"
"Cold","process cooling","PROCESS_COOLING",0,0,425.8,0,"[GWh]"
"Cold","space cooling","SPACE_COOLING",6846.4,2908.4,0,0,"[GWh]"
"Mobility","passenger","MOBILITY_PASSENGER",0,0,0,931819.4,"[Mpkm]"
"Mobility","freight","MOBILITY_FREIGHT",0,0,0,148034.1,"[Mtkm]"
"Non energy","Non energy","NON_ENERGY",0,0,34345.5,0,"[GWh]"
