"Category","Subcategory","parameter_name","HOUSEHOLDS","SERVICES","INDUSTRY","TRANSPORTATION","Units"
"Electricity","baseload","ELECTRICITY",8894,14020,44473,0,"[GWh]"
"Electricity","variable","ELECTRICITY_VAR",4582,10577,14044,0,"[GWh]"
"Heat","high temperature","HEAT_HIGH_T",0,0,33117,0,"[GWh]"
"Heat","space heating","HEAT_LOW_T_SH",15533,5700,24574,0,"[GWh]"
"Heat","hot water","HEAT_LOW_T_HW",1295,0,12289,0,"[GWh]"
"Cold","process cooling","PROCESS_COOLING",0,0,348,0,"[GWh]"
"Cold","space cooling","SPACE_COOLING",2911,3573,0,0,"[GWh]"
"Mobility","passenger","MOBILITY_PASSENGER",0,0,0,396162,"[Mpkm]"
"Mobility","freight","MOBILITY_FREIGHT",0,0,0,120687,"[Mtkm]"
"Non energy","Non energy","NON_ENERGY",0,0,30391,0,"[GWh]"
