"Category","Subcategory","parameter_name","HOUSEHOLDS","SERVICES","INDUSTRY","TRANSPORTATION","Units"
"Electricity","baseload","ELECTRICITY",8159,11705,38942,0,"[GWh]"
"Electricity","variable","ELECTRICITY_VAR",4203,8830,12298,0,"[GWh]"
"Heat","high temperature","HEAT_HIGH_T",0,0,28999,0,"[GWh]"
"Heat","space heating","HEAT_LOW_T_SH",14250,4758,23108,0,"[GWh]"
"Heat","hot water","HEAT_LOW_T_HW",1187,0,11555,0,"[GWh]"
"Cold","process cooling","PROCESS_COOLING",0,0,304,0,"[GWh]"
"Cold","space cooling","SPACE_COOLING",2670,2983,0,0,"[GWh]"
"Mobility","passenger","MOBILITY_PASSENGER",0,0,0,363446,"[Mpkm]"
"Mobility","freight","MOBILITY_FREIGHT",0,0,0,106364,"[Mtkm]"
"Non energy","Non energy","NON_ENERGY",0,0,25703,0,"[GWh]"
