"Category","Subcategory","parameter_name","HOUSEHOLDS","SERVICES","INDUSTRY","TRANSPORTATION","Units"
"Electricity","baseload","ELECTRICITY",9804,22582,63785,0,"[GWh]"
"Electricity","variable","ELECTRICITY_VAR",5051,17035,20142,0,"[GWh]"
"Heat","high temperature","HEAT_HIGH_T",0,0,47499,0,"[GWh]"
"Heat","space heating","HEAT_LOW_T_SH",17123,9180,30618,0,"[GWh]"
"Heat","hot water","HEAT_LOW_T_HW",1427,0,15311,0,"[GWh]"
"Cold","process cooling","PROCESS_COOLING",0,0,500,0,"[GWh]"
"Cold","space cooling","SPACE_COOLING",3209,5754,0,0,"[GWh]"
"Mobility","passenger","MOBILITY_PASSENGER",0,0,0,436698,"[Mpkm]"
"Mobility","freight","MOBILITY_FREIGHT",0,0,0,171594,"[Mtkm]"
"Non energy","Non energy","NON_ENERGY",0,0,48274,0,"[GWh]"
