TECHNOLOGIES	 c_inv	 c_maint	 lifetime	  f_min	 f	 f_max	 fmin_perc	f_perc	 fmax_perc	 c_p	 c_p_max	 tau	 gwp_constr
 UNITS	[M€/GW]	 [M€/GW/y]	 [y]	 [GW or GWh]	 [GW or GWh]	 [GW or GWh]	 [0-1]	 [0-1]	 [0-1]	 [0-1]	 [0-1]	 [-]	 [ktCO2-eq./GW or GWh] 
CAR_BEV	89520.456346	2060.124750	10.000000	0.000000	146.108138	Infinity	0.000000	0.450000	1.000000	0.051370	0.051370	0.138454	0.000000
CAR_FUEL_CELL	0.000002	0.000000	10.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000001	0.051370	0.138454	0.000000
TRAIN_FREIGHT	2019.211560	39.699753	40.000000	0.000000	13.689570	Infinity	0.000000	1.000000	1.000000	0.342466	0.342466	0.069840	0.000000
BOAT_FREIGHT_DIESEL	5908.418367	295.694710	40.000000	0.000000	54.758280	Infinity	0.000000	1.000000	1.000000	0.114155	0.114155	0.069840	0.000000
BOAT_FREIGHT_NG	0.000002	0.000000	40.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000017	0.114155	0.069840	0.000000
BOAT_FREIGHT_METHANOL	0.000000	0.000000	40.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000003	0.114155	0.069840	0.000000
TRUCK_DIESEL	26541.637951	1326.575571	15.000000	0.000000	50.632655	Infinity	0.000000	1.000000	1.000000	0.092593	0.092593	0.105671	0.000000
TRUCK_GASOLINE	0.000001	0.000000	15.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000002	0.092593	0.105671	0.000000
TRUCK_METHANOL	0.000000	0.000000	15.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000001	0.092593	0.105671	0.000000
TRUCK_FUEL_CELL	0.000068	0.000002	15.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000111	0.092593	0.105671	0.000000
TRUCK_ELEC	0.000000	0.000000	15.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000000	0.092593	0.105671	0.000000
TRUCK_NG	0.000002	0.000000	15.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000004	0.092593	0.105671	0.000000
HABER_BOSCH	0.000013	0.000000	20.000000	0.000000	0.000000	Infinity	0.000000	1.000000	1.000000	0.000031	1.000000	0.090037	0.000000
OIL_TO_HVC	1999.269042	10.750685	15.000000	0.000000	3.583562	Infinity	0.000000	1.000000	1.000000	1.000000	1.000000	0.105671	0.000000
