Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	GAS_RE	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	PT_HEAT	ST_HEAT	NUCLEAR	CCGT	CCGT_AMMONIA	COAL_US	COAL_IGCC	PV_ROOFTOP	PV_UTILITY	PT_POWER_BLOCK	ST_POWER_BLOCK	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_DAM	HYDRO_RIVER	TIDAL	WAVE	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	COAL_STOVE	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	DEC_THHP_GAS_COLD	DEC_ELEC_COLD	IND_ELEC_COLD	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_GASOLINE	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	MOTORCYCLE	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRUCK_DIESEL	TRUCK_GASOLINE	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	SYN_METHANOLATION	METHANE_TO_METHANOL	BIOMASS_TO_METHANOL	EFFICIENCY	DHN	GRID	HVAC_LINE	PT_COLLECTOR	ST_COLLECTOR	H2_ELECTROLYSIS	SMR	H2_BIOMASS	GASIFICATION_SNG	SYN_METHANATION	BIOMETHANATION	BIO_HYDROLYSIS	PYROLYSIS_TO_LFO	PYROLYSIS_TO_FUELS	ATM_CCS	INDUSTRY_CCS	AMMONIA_TO_H2	DAM_STORAGE_Pin	DAM_STORAGE_Pout	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_COAL_STOVE_Pin	TS_COAL_STOVE_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	PT_STORAGE_Pin	PT_STORAGE_Pout	ST_STORAGE_Pin	ST_STORAGE_Pout	TS_COLD_Pin	TS_COLD_Pout	CAES_Pin	CAES_Pout	END_USE	
 1 	 19																																																								0.000037	11.107752	0.000001	0.000000	0.000000	0.000000	0.000000	0.000001	0.000000	0.000005	0.000000																																										0.000000					0.000000		0.000000							0.000000			0.000000	0.000000							0.000000																																	-0.000009	0.000009	-83.669655	152.195443																											-79.633585	
 1 	 20																																																								0.000014	11.107752	0.000001	0.000000	0.000000	0.000000	0.000000	0.000001	0.000000	0.000005	0.000000																																										0.000000					0.000000		0.000000							0.000000			0.000000	0.000000							0.000000																																	-0.000009	0.000008	-83.462467	153.098369																											-80.743676	
 1 	 21																																																								1.475822	11.107752	0.000001	0.000000	0.000000	0.000000	0.000000	0.000001	0.000000	0.000005	0.000000																																										0.000000					0.000000		0.000000							0.000000			0.000000	0.000000							0.000000																																	-0.000010	0.000008	-83.830798	152.795387																											-81.548170	
 1 	 22																																																								0.000033	11.107752	0.000001	0.000000	0.000000	0.000000	0.000000	0.000001	0.000000	0.000005	0.000000																																										0.000000					0.000000		0.000000							0.000000			0.000000	0.000000							0.000000																																	-0.000011	0.000006	-82.965207	153.784254																											-81.926835	
 1 	 23																																																								0.000005	11.107752	0.000001	0.000000	0.000000	0.000000	0.000000	0.000001	0.000000	0.000005	0.000000																																										0.000000					0.000000		0.000000							0.000000			0.000000	0.000000							0.000000																																	-0.000014	0.000005	-82.692812	154.257888																											-82.672832	
 1 	 24																																																								0.000005	11.107752	0.000001	0.000000	0.000000	0.000000	0.000000	0.000001	0.000000	0.000005	0.000000																																										0.000000					0.000000		0.000000							0.000000			0.000000	0.000000							0.000000																																	-0.000017	0.000004	-82.201350	155.325607																											-84.232010	
 2 	 1																																																								9.018759	11.107751	0.000001	0.000000	0.000000	0.000000	0.000001	0.000002	0.000000	0.000005	0.000000																																										0.000000					0.000000		0.000000							0.000000			0.000000	0.000000							0.000000																																	-0.000009	0.000009	-89.531404	142.225157																											-72.820273	
 2 	 2																																																								17.078626	11.107751	0.000001	0.000000	0.000000	0.000000	0.000001	0.000002	0.000000	0.000005	0.000000																																										0.000000					0.000000		0.000000							0.000000			0.000000	0.000000							0.000000																																	-0.000009	0.000009	-92.337766	138.103335																											-73.951956	
 2 	 3																																																								45.244308	11.107751	0.000001	0.000000	0.000000	0.000000	0.000001	0.000002	0.000000	0.000005	0.000000																																										0.000000					0.000000		0.000000							0.000000			0.000000	0.000000							0.000000																																	-0.000009	0.000009	-104.357461	124.059241																											-76.053849	
 2 	 4																																																								45.251655	11.107751	0.000001	0.000000	0.000000	0.000000	0.000001	0.000002	0.000000	0.000005	0.000000																																										0.000000					0.000000		0.000000							0.000000			0.000000	0.000000							0.000000																																	-0.000009	0.000009	-103.537005	124.224069																											-77.046480	
 2 	 5																																																								45.252885	11.107751	0.000001	0.000000	0.000000	0.000000	0.000001	0.000002	0.000000	0.000005	0.000000																																										0.000000					0.000000		0.000000							0.000000			0.000000	0.000000							0.000000																																	-0.000009	0.000009	-103.027464	124.643554																											-77.976736	
 2 	 6																																																								45.253657	11.107751	0.000001	0.000000	0.000000	0.000000	0.000001	0.000002	0.000000	0.000005	0.000000																																										0.000000					0.000000		0.000000							0.000000			0.000000	0.000000							0.000000																																	-0.000009	0.000009	-102.635470	124.956942																											-78.682890	
 2 	 7																																																								45.254040	11.107751	0.000001	0.000000	0.000000	0.000000	0.000001	0.000002	0.000000	0.000005	0.000000																																										0.000000					0.000000		0.000000							0.000000			0.000000	0.000000							0.000000																																	-0.000009	0.000009	-102.164003	125.246210																											-79.444009	
 2 	 8																																																								45.254212	11.107751	0.000001	0.000000	0.000000	0.000000	0.000001	0.000002	0.000000	0.000005	0.000000																																										0.000000					0.000000		0.000000							0.000000			0.000000	0.000000							0.000000																																	-0.000009	0.000009	-102.200642	125.178759																											-79.340090	
 2 	 9																																																								45.255080	11.107751	0.000001	0.000000	0.000000	0.000000	0.000001	0.000002	0.000000	0.000005	0.000000																																										0.000000					0.000000		0.000000							0.000000			0.000000	0.000000							0.000000																																	-0.000009	0.000009	-104.880243	122.217631																											-73.700230	
 2 	 10																																																								45.255085	11.107751	0.000001	0.000000	0.000000	0.000000	0.000001	0.000002	0.000000	0.000005	0.000001																																										0.000000					0.000000		0.000000							0.000000			0.000000	0.000000							0.000000																																	-0.000009	0.000009	-109.432328	117.526279																											-64.456797	
 2 	 11																																																								45.255086	0.000000	0.000000	0.000000	0.000000	0.000000	0.000001	0.000002	0.000000	0.000005	0.000001																																										0.000000					0.000000		0.000000							0.000000			0.000000	0.000000							0.000000																																	-0.000009	0.000009	-107.958177	119.025285																											-56.322204	
 2 	 12																																																								45.255086	0.000000	0.000000	0.000000	0.000000	0.000000	0.000001	0.000002	0.000000	0.000005	0.000001																																										0.000000					0.000000		0.000000							0.000000			0.000000	0.000000							0.000000																																	-0.000009	0.000009	-110.733734	116.131703																											-50.653066	
