TECHNOLOGIES	 c_inv	 c_maint	 lifetime	  f_min	 f	 f_max	 fmin_perc	f_perc	 fmax_perc	 c_p	 c_p_max	 tau	 gwp_constr
 UNITS	[M€/GW]	 [M€/GW/y]	 [y]	 [GW or GWh]	 [GW or GWh]	 [GW or GWh]	 [0-1]	 [0-1]	 [0-1]	 [0-1]	 [0-1]	 [-]	 [ktCO2-eq./GW or GWh] 
NUCLEAR	0.000000	0.000000	60.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.843906	0.065586	0.000000
CCGT	0.000068	0.000002	25.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000134	0.850000	0.081224	0.000016
CCGT_AMMONIA	0.000055	0.000001	25.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000062	0.961538	0.081224	0.000013
COAL_US	0.000000	0.000000	35.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.868000	0.072238	0.000000
COAL_IGCC	0.000144	0.000002	35.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000291	0.856000	0.072238	0.000015
BIOMASS_TO_POWER	0.000058	0.000002	35.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000074	0.868000	0.072238	0.000012
PV_ROOFTOP	221.367006	2.919000	40.000000	0.300000	0.300000	98.400000	0.000000	0.002432	1.000000	0.166251	1.000000	0.069840	624.429017
PV_UTILITY	5231.124792	131.479970	40.000000	0.000000	15.596675	708.000000	0.000000	0.154876	1.000000	0.203612	1.000000	0.069840	32463.387229
PT_POWER_BLOCK	0.000034	0.000002	25.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000020	1.000000	0.081224	0.000000
ST_POWER_BLOCK	0.000029	0.000002	25.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000017	1.000000	0.081224	0.000000
WIND_ONSHORE	0.000211	0.000004	30.000000	0.000000	0.000000	7.300000	0.000000	0.000000	1.000000	0.000459	1.000000	0.075785	0.000130
WIND_OFFSHORE	27182.834715	1094.788089	30.000000	0.000000	21.653245	48.800000	0.000000	0.524202	1.000000	0.496397	1.000000	0.075785	13486.723916
HYDRO_DAM	39217.735203	196.056000	40.000000	9.336000	9.336000	51.200000	0.000000	0.227655	1.000000	0.500000	1.000000	0.069840	15804.727681
HYDRO_RIVER	19054.662858	190.511880	40.000000	3.777000	3.777000	27.800000	0.000000	0.090835	1.000000	0.493127	1.000000	0.069840	4769.671145
TIDAL	0.000000	0.000000	20.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	1.000000	0.090037	0.000000
WAVE	0.000000	0.000000	20.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	1.000000	0.090037	0.000000
GEOTHERMAL	0.000142	0.000003	30.000000	0.000000	0.000000	1.200000	0.000000	0.000000	1.000000	0.000133	0.860000	0.075785	0.000474
IND_COGEN_GAS	0.000047	0.000003	25.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000082	0.850000	0.081224	0.000034
IND_COGEN_WOOD	0.000055	0.000002	25.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000117	0.850000	0.081224	0.000008
IND_COGEN_WASTE	0.000076	0.000003	25.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000136	0.850000	0.081224	0.000017
