Category,Subcategory,parameter_name,HOUSEHOLDS,SERVICES,INDUSTRY,TRANSPORTATION,Units
Electricity,baseload,ELECTRICITY,9584.1,16040.7,39581.0,0.0,[GWh]
Electricity,variable,ELECTRICITY_VAR,2944.1,4927.5,12158.9,0.0,[GWh]
Heat,high temperature,HEAT_HIGH_T,0.0,0.0,29238.6,0.0,[GWh]
Heat,space heating,HEAT_LOW_T_SH,14446.9,4859.2,22228.1,0.0,[GWh]
Heat,hot water,HEAT_LOW_T_HW,1202.2,0.0,11114.0,0.0,[GWh]
Cold,process cooling,PROCESS_COOLING,0.0,0.0,306.9,0.0,[GWh]
Cold,space cooling,SPACE_COOLING,2709.6,3045.6,0.0,0.0,[GWh]
Mobility,passenger,MOBILITY_PASSENGER,0.0,0.0,0.0,368441.5,[Mpkm]
Mobility,freight,MOBILITY_FREIGHT,0.0,0.0,0.0,106999.5,[Mtkm]
Non energy,Non energy,NON_ENERGY,0.0,0.0,25518.2,0.0,[GWh]
