Phases,capex_F_CO,capex_F_M,capex_B_CO,capex_B_M,capex_G_CO,capex_G_M,capex_H_CO,capex_H_M,opex_F_CO,opex_F_M,opex_B_CO,opex_B_M,opex_G_CO,opex_G_M,opex_H_CO,opex_H_M,exports_CO,CTf,CTb,CTg,CTh
2015_2020,6.988,6.304,0.014,0.018,1.094,3.936,1.2,3.412,11.687,0.69,0.124,0.0,7.802,0.0,7.467,0.0,0.0,0.0,0.0,0.0,0.0
2020_2025,4.234,4.669,0.007,0.009,2.438,8.161,1.268,10.784,11.392,0.345,0.136,0.0,8.178,0.0,7.533,0.0,0.0,0.054,0.0,0.038,0.015
2025_2030,3.909,5.365,0.008,0.01,2.674,8.511,5.065,10.913,10.706,0.0,0.162,0.0,8.811,0.0,8.445,0.0,0.001,0.16,0.001,0.111,0.053
2030_2035,6.21,13.942,0.009,0.036,3.69,13.024,0.236,23.512,12.381,0.0,0.248,0.0,9.39,0.0,9.083,0.0,0.0,0.253,0.001,0.127,0.077
2035_2040,3.154,13.559,0.036,0.039,3.155,19.623,0.755,25.053,14.217,0.0,0.322,0.0,10.062,0.0,7.907,0.0,0.0,0.276,0.0,0.115,0.04
2040_2045,9.784,42.806,0.009,0.014,1.038,31.233,0.23,25.902,15.358,0.0,0.322,0.0,10.846,0.0,6.363,0.0,0.001,0.137,0.0,0.073,0.0
2045_2050,5.033,15.391,0.024,0.071,4.332,14.164,0.529,25.021,16.248,0.0,0.313,0.0,11.286,0.0,5.67,0.0,0.001,0.007,0.0,0.018,0.0
