,theta_El_F,theta_HLTHW_F,theta_HLTSH_F,theta_HHT_F,theta_PC_F,theta_MF_F,theta_NE_F,theta_El_B,theta_HLTSH_B,theta_SC_B,theta_El_G,theta_HLTSH_G,theta_SC_G,theta_El_H,theta_HLTHW_H,theta_HLTSH_H,theta_SC_H,theta_MP_H
2019,31.329,4.853,9.703,17.8,0.186,58.262,14.87,16199.262,3754.727,2353.512,4995.893,1156.224,724.654,30.939,2.969,35.678,6.692,909.891
2020,31.124,4.82,9.639,17.685,0.185,57.881,14.87,16500.156,3824.469,2397.228,5091.865,1178.436,738.575,28.694,2.753,33.088,6.206,843.853
2021,30.921,4.788,9.576,17.57,0.184,57.504,14.87,16806.639,3895.507,2441.756,5189.681,1201.074,752.762,26.611,2.554,30.687,5.756,782.607
2022,30.719,4.756,9.513,17.456,0.183,57.128,14.87,17118.815,3967.864,2487.111,5289.376,1224.147,767.222,24.68,2.368,28.46,5.338,725.807
2023,30.627,4.742,9.484,17.403,0.183,56.956,14.87,17566.817,4071.704,2552.199,5431.152,1256.958,787.787,23.226,2.229,26.783,5.023,683.06
2024,30.492,4.721,9.443,17.327,0.182,56.706,14.87,18066.602,4187.546,2624.81,5588.878,1293.462,810.665,21.965,2.108,25.329,4.751,645.965
2025,30.219,4.679,9.358,17.172,0.18,56.199,14.87,18516.816,4291.898,2690.22,5731.265,1326.415,831.318,20.772,1.993,23.953,4.493,610.869
2026,29.985,4.643,9.286,17.038,0.179,55.763,14.87,18977.73,4398.731,2757.184,5876.944,1360.131,852.449,19.712,1.892,22.731,4.263,579.7
2027,29.892,4.628,9.257,16.986,0.178,55.591,14.87,19579.225,4538.148,2844.572,6066.232,1403.938,879.905,18.914,1.815,21.81,4.091,556.229
2028,29.858,4.623,9.246,16.966,0.178,55.527,14.87,20347.513,4716.224,2956.193,6307.175,1459.701,914.854,18.334,1.759,21.142,3.965,539.193
2029,29.755,4.607,9.214,16.908,0.177,55.335,14.87,21203.552,4914.641,3080.563,6575.424,1521.783,953.763,17.834,1.711,20.566,3.857,524.488
2030,29.533,4.573,9.146,16.781,0.176,54.922,14.87,22028.826,5105.926,3200.463,6834.184,1581.669,991.296,17.288,1.659,19.935,3.739,508.41
2031,29.302,4.537,9.074,16.65,0.175,54.493,14.87,22834.195,5292.597,3317.471,7087,1640.18,1027.967,16.714,1.604,19.274,3.615,491.546
2032,29.104,4.506,9.013,16.538,0.174,54.125,14.87,23694.386,5491.976,3442.444,7356.955,1702.657,1067.124,16.195,1.554,18.675,3.503,476.269
2033,28.982,4.487,8.975,16.469,0.173,53.898,14.87,24656.765,5715.039,3582.264,7658.909,1772.54,1110.923,15.754,1.512,18.167,3.407,463.317
2034,28.784,4.457,8.914,16.356,0.172,53.529,14.87,25571.065,5926.959,3715.098,7946.048,1838.994,1152.572,15.277,1.466,17.617,3.304,449.292
2035,28.523,4.416,8.833,16.208,0.17,53.044,14.87,26347.139,6106.841,3827.85,8190.486,1895.565,1188.028,14.711,1.412,16.963,3.182,432.622
2036,28.205,4.367,8.735,16.027,0.168,52.454,14.87,26950.47,6246.683,3915.505,8381.401,1939.749,1215.72,14.059,1.349,16.212,3.041,413.455
2037,27.946,4.327,8.654,15.88,0.167,51.971,14.87,27493.272,6372.496,3994.366,8553.516,1979.583,1240.685,13.405,1.286,15.458,2.899,394.231
2038,27.754,4.297,8.595,15.771,0.166,51.614,14.87,28065.517,6505.133,4077.505,8734.94,2021.571,1267,12.8,1.228,14.761,2.769,376.448
2039,27.566,4.268,8.536,15.664,0.164,51.263,14.87,28647.004,6639.912,4161.986,8919.382,2064.257,1293.754,12.231,1.174,14.104,2.645,359.695
2040,27.353,4.235,8.471,15.543,0.163,50.869,14.87,29192.731,6766.403,4241.273,9092.792,2104.39,1318.907,11.671,1.12,13.458,2.524,343.223
2041,27.143,4.203,8.406,15.424,0.162,50.478,14.87,29703.246,6884.732,4315.443,9255.348,2142.011,1342.486,11.12,1.067,12.823,2.405,327.024
2042,26.962,4.175,8.35,15.321,0.161,50.142,14.87,30234.179,7007.794,4392.579,9424.382,2181.132,1367.004,10.602,1.017,12.225,2.293,311.787
2043,26.83,4.154,8.309,15.246,0.16,49.895,14.87,30853.543,7151.352,4482.564,9621.076,2226.653,1395.534,10.139,0.973,11.691,2.193,298.169
2044,26.678,4.131,8.262,15.159,0.159,49.613,14.87,31496.518,7300.384,4575.979,9825.318,2273.922,1425.159,9.703,0.931,11.189,2.099,285.349
2045,26.475,4.099,8.199,15.044,0.158,49.236,14.87,32059.345,7430.838,4657.749,10004.657,2315.428,1451.172,9.259,0.889,10.677,2.003,272.305
2046,26.257,4.065,8.131,14.92,0.157,48.829,14.87,32514.216,7536.27,4723.835,10150.371,2349.151,1472.308,8.804,0.845,10.153,1.904,258.931
2047,26.077,4.038,8.076,14.818,0.156,48.496,14.87,32955.235,7638.491,4787.909,10291.909,2381.908,1492.838,8.368,0.803,9.65,1.81,246.1
2048,26.001,4.026,8.052,14.775,0.155,48.354,14.87,33554.353,7777.356,4874.952,10482.913,2426.113,1520.543,7.994,0.767,9.218,1.729,235.097
2049,25.946,4.017,8.035,14.743,0.155,48.251,14.87,34307.878,7952.011,4984.428,10722.278,2481.51,1555.263,7.671,0.736,8.845,1.659,225.584
2050,25.846,4.002,8.004,14.687,0.154,48.066,14.87,35098.53,8135.272,5099.298,10973.409,2539.631,1591.69,7.365,0.707,8.494,1.593,216.611
2051,25.747,3.987,7.973,14.63,0.154,47.881,14.87,35907.403,8322.755,5216.815,11230.421,2599.112,1628.969,7.072,0.679,8.156,1.53,207.994
