Category,Subcategory,parameter_name,HOUSEHOLDS,SERVICES,INDUSTRY,TRANSPORTATION,Units
Electricity,baseload,ELECTRICITY,11744.6,28551.1,67218.6,0.0,[GWh]
Electricity,variable,ELECTRICITY_VAR,3607.8,8770.6,20648.9,0.0,[GWh]
Heat,high temperature,HEAT_HIGH_T,0.0,0.0,49654.6,0.0,[GWh]
Heat,space heating,HEAT_LOW_T_SH,17703.6,8648.9,24641.6,0.0,[GWh]
Heat,hot water,HEAT_LOW_T_HW,1473.2,0.0,12320.8,0.0,[GWh]
Cold,process cooling,PROCESS_COOLING,0.0,0.0,521.1,0.0,[GWh]
Cold,space cooling,SPACE_COOLING,3320.5,5420.9,0.0,0.0,[GWh]
Mobility,passenger,MOBILITY_PASSENGER,0.0,0.0,0.0,451498.7,[Mpkm]
Mobility,freight,MOBILITY_FREIGHT,0.0,0.0,0.0,177964.4,[Mtkm]
Non energy,Non energy,NON_ENERGY,0.0,0.0,47987.6,0.0,[GWh]
