Category,Subcategory,parameter_name,HOUSEHOLDS,SERVICES,INDUSTRY,TRANSPORTATION,Units
Electricity,baseload,ELECTRICITY,11614.7,24638.9,57837.8,0.0,[GWh]
Electricity,variable,ELECTRICITY_VAR,3567.9,7568.8,17767.2,0.0,[GWh]
Heat,high temperature,HEAT_HIGH_T,0.0,0.0,42724.9,0.0,[GWh]
Heat,space heating,HEAT_LOW_T_SH,17507.8,7463.8,23497.6,0.0,[GWh]
Heat,hot water,HEAT_LOW_T_HW,1456.9,0.0,11748.7,0.0,[GWh]
Cold,process cooling,PROCESS_COOLING,0.0,0.0,448.3,0.0,[GWh]
Cold,space cooling,SPACE_COOLING,3283.8,4678.1,0.0,0.0,[GWh]
Mobility,passenger,MOBILITY_PASSENGER,0.0,0.0,0.0,446504.7,[Mpkm]
Mobility,freight,MOBILITY_FREIGHT,0.0,0.0,0.0,153658.0,[Mtkm]
Non energy,Non energy,NON_ENERGY,0.0,0.0,39656.7,0.0,[GWh]
