Category,Subcategory,parameter_name,HOUSEHOLDS,SERVICES,INDUSTRY,TRANSPORTATION,Units
Electricity,baseload,ELECTRICITY,9048.9,13418.1,36018.3,0.0,[GWh]
Electricity,variable,ELECTRICITY_VAR,2779.7,4121.9,11064.5,0.0,[GWh]
Heat,high temperature,HEAT_HIGH_T,0.0,0.0,26597.7,0.0,[GWh]
Heat,space heating,HEAT_LOW_T_SH,13640.3,4064.9,21858.3,0.0,[GWh]
Heat,hot water,HEAT_LOW_T_HW,1135.1,0.0,10929.0,0.0,[GWh]
Cold,process cooling,PROCESS_COOLING,0.0,0.0,279.2,0.0,[GWh]
Cold,space cooling,SPACE_COOLING,2558.4,2547.8,0.0,0.0,[GWh]
Mobility,passenger,MOBILITY_PASSENGER,0.0,0.0,0.0,347869.3,[Mpkm]
Mobility,freight,MOBILITY_FREIGHT,0.0,0.0,0.0,98652.3,[Mtkm]
Non energy,Non energy,NON_ENERGY,0.0,0.0,22571.9,0.0,[GWh]
