Category,Subcategory,parameter_name,HOUSEHOLDS,SERVICES,INDUSTRY,TRANSPORTATION,Units
Electricity,baseload,ELECTRICITY,11809.6,32920.1,68314.0,0.0,[GWh]
Electricity,variable,ELECTRICITY_VAR,3627.8,10112.7,20985.3,0.0,[GWh]
Heat,high temperature,HEAT_HIGH_T,0.0,0.0,50742.8,0.0,[GWh]
Heat,space heating,HEAT_LOW_T_SH,17802.3,9964.5,28709.6,0.0,[GWh]
Heat,hot water,HEAT_LOW_T_HW,1482.0,0.0,14352.8,0.0,[GWh]
Cold,process cooling,PROCESS_COOLING,0.0,0.0,533.5,0.0,[GWh]
Cold,space cooling,SPACE_COOLING,3338.9,6245.4,0.0,0.0,[GWh]
Mobility,passenger,MOBILITY_PASSENGER,0.0,0.0,0.0,454021.0,[Mpkm]
Mobility,freight,MOBILITY_FREIGHT,0.0,0.0,0.0,180671.5,[Mtkm]
Non energy,Non energy,NON_ENERGY,0.0,0.0,50414.3,0.0,[GWh]
