Phase,F,B,G,H
2019_2021,0.642,0.027,0.051,0.28
2021_2026,0.637,0.029,0.054,0.28
2026_2031,0.626,0.032,0.061,0.281
2031_2036,0.606,0.037,0.07,0.287
2036_2041,0.602,0.041,0.078,0.28
2041_2046,0.609,0.044,0.084,0.263
2046_2051,0.623,0.047,0.089,0.241
