Category,Subcategory,parameter_name,HOUSEHOLDS,SERVICES,INDUSTRY,TRANSPORTATION,Units
Electricity,baseload,ELECTRICITY,9637.7,15975.2,39884.3,0.0,[GWh]
Electricity,variable,ELECTRICITY_VAR,2960.6,4907.4,12252.0,0.0,[GWh]
Heat,high temperature,HEAT_HIGH_T,0.0,0.0,29550.6,0.0,[GWh]
Heat,space heating,HEAT_LOW_T_SH,14523.9,4835.5,22614.8,0.0,[GWh]
Heat,hot water,HEAT_LOW_T_HW,1210.3,0.0,11307.2,0.0,[GWh]
Cold,process cooling,PROCESS_COOLING,0.0,0.0,310.1,0.0,[GWh]
Cold,space cooling,SPACE_COOLING,2721.7,3030.7,0.0,0.0,[GWh]
Mobility,passenger,MOBILITY_PASSENGER,0.0,0.0,0.0,370425.4,[Mpkm]
Mobility,freight,MOBILITY_FREIGHT,0.0,0.0,0.0,107202.3,[Mtkm]
Non energy,Non energy,NON_ENERGY,0.0,0.0,25672.2,0.0,[GWh]
