,TotalGWP,gwp_cost,,,,
YEAR_2020,"97,481",0,,,,
YEAR_2025,"71,667",0.009,,,en0,3.74424417
YEAR_2030,"65,929",0.013,,,corrective_factor,4.07E-05
YEAR_2035,"64,914",0.018,,,,
YEAR_2040,"51,546",0.022,,,,
YEAR_2045,"43,911",0.026,,,,
YEAR_2050,644,0.3,,,,
,,,,,,
,,,,,,
2020_2025,322,0.049,,,,
2025_2030,751,0.114,,,,
2030_2035,"1,013",0.154,,,,
2035_2040,"1,151",0.175,,,,
2040_2045,"1,138",0.173,,,,
2045_2050,667,0.102,,,,
