Category,Subcategory,parameter_name,HOUSEHOLDS,SERVICES,INDUSTRY,TRANSPORTATION,Units
Electricity,baseload,ELECTRICITY,8762.7,16794.1,50769.9,0.0,[GWh]
Electricity,variable,ELECTRICITY_VAR,4514.1,12669.3,16032.6,0.0,[GWh]
Heat,high temperature,HEAT_HIGH_T,0.0,0.0,37805.9,0.0,[GWh]
Heat,space heating,HEAT_LOW_T_SH,15303.2,6827.1,24951.2,0.0,[GWh]
Heat,hot water,HEAT_LOW_T_HW,1275.6,0.0,12475.9,0.0,[GWh]
Cold,process cooling,PROCESS_COOLING,0.0,0.0,396.8,0.0,[GWh]
Cold,space cooling,SPACE_COOLING,2867.9,4279.4,0.0,0.0,[GWh]
Mobility,passenger,MOBILITY_PASSENGER,0.0,0.0,0.0,390307.6,[Mpkm]
Mobility,freight,MOBILITY_FREIGHT,0.0,0.0,0.0,136442.8,[Mtkm]
Non energy,Non energy,NON_ENERGY,0.0,0.0,36215.8,0.0,[GWh]
