Category,Subcategory,parameter_name,HOUSEHOLDS,SERVICES,INDUSTRY,TRANSPORTATION,Units
Electricity,baseload,ELECTRICITY,11436.1,20699.5,49086.6,0.0,[GWh]
Electricity,variable,ELECTRICITY_VAR,3513.1,6358.7,15078.9,0.0,[GWh]
Heat,high temperature,HEAT_HIGH_T,0.0,0.0,36368.7,0.0,[GWh]
Heat,space heating,HEAT_LOW_T_SH,17234.1,6265.5,24621.7,0.0,[GWh]
Heat,hot water,HEAT_LOW_T_HW,1436.2,0.0,12310.7,0.0,[GWh]
Cold,process cooling,PROCESS_COOLING,0.0,0.0,381.7,0.0,[GWh]
Cold,space cooling,SPACE_COOLING,3229.6,3927.0,0.0,0.0,[GWh]
Mobility,passenger,MOBILITY_PASSENGER,0.0,0.0,0.0,439548.0,[Mpkm]
Mobility,freight,MOBILITY_FREIGHT,0.0,0.0,0.0,130437.5,[Mtkm]
Non energy,Non energy,NON_ENERGY,0.0,0.0,32099.7,0.0,[GWh]
