Category,Subcategory,parameter_name,HOUSEHOLDS,SERVICES,INDUSTRY,TRANSPORTATION,Units
Electricity,baseload,ELECTRICITY,9206.4,22713.6,66641.9,0.0,[GWh]
Electricity,variable,ELECTRICITY_VAR,4742.7,17134.8,21044.8,0.0,[GWh]
Heat,high temperature,HEAT_HIGH_T,0.0,0.0,49627.4,0.0,[GWh]
Heat,space heating,HEAT_LOW_T_SH,16078.6,9233.5,28632.8,0.0,[GWh]
Heat,hot water,HEAT_LOW_T_HW,1340.0,0.0,14317.7,0.0,[GWh]
Cold,process cooling,PROCESS_COOLING,0.0,0.0,522.3,0.0,[GWh]
Cold,space cooling,SPACE_COOLING,3012.8,5787.8,0.0,0.0,[GWh]
Mobility,passenger,MOBILITY_PASSENGER,0.0,0.0,0.0,410086.9,[Mpkm]
Mobility,freight,MOBILITY_FREIGHT,0.0,0.0,0.0,175967.8,[Mtkm]
Non energy,Non energy,NON_ENERGY,0.0,0.0,50735.6,0.0,[GWh]
