Category,Subcategory,parameter_name,HOUSEHOLDS,SERVICES,INDUSTRY,TRANSPORTATION,Units
Electricity,baseload,ELECTRICITY,12027.3,39567.0,77964.8,0.0,[GWh]
Electricity,variable,ELECTRICITY_VAR,3694.7,12154.6,23950.0,0.0,[GWh]
Heat,high temperature,HEAT_HIGH_T,0.0,0.0,57764.8,0.0,[GWh]
Heat,space heating,HEAT_LOW_T_SH,18125.1,11976.4,31469.0,0.0,[GWh]
Heat,hot water,HEAT_LOW_T_HW,1510.4,0.0,15734.3,0.0,[GWh]
Cold,process cooling,PROCESS_COOLING,0.0,0.0,606.2,0.0,[GWh]
Cold,space cooling,SPACE_COOLING,3396.5,7506.4,0.0,0.0,[GWh]
Mobility,passenger,MOBILITY_PASSENGER,0.0,0.0,0.0,462271.2,[Mpkm]
Mobility,freight,MOBILITY_FREIGHT,0.0,0.0,0.0,205668.3,[Mtkm]
Non energy,Non energy,NON_ENERGY,0.0,0.0,59054.6,0.0,[GWh]
