Phase,B,G,H
2019_2021,0.171,0.321,0.508
2021_2026,0.176,0.331,0.493
2026_2031,0.185,0.349,0.466
2031_2036,0.195,0.369,0.437
2036_2041,0.205,0.389,0.405
2041_2046,0.218,0.413,0.369
2046_2051,0.23,0.438,0.332
