,capex_F_COP,capex_F_FX,capex_B_COP,capex_B_FX,capex_G_COP,capex_G_FX,capex_H_COP,capex_H_FX
2015_2020,93658.554,79209.467,152.018,206.239,11816.077,42495.047,12957.892,36812.268
2020_2025,12082.055,22669.282,18.979,25.559,227.842,1684.421,162.053,2243.759
2025_2030,9561.56,21578.716,16.145,29.862,1561.532,15491.538,449.425,67842.414
2030_2035,11860.601,44546.493,10.404,39.438,4617.488,46548.29,63.332,4547.873
2035_2040,15786.858,43965.898,61.106,67.417,383.41,2817.403,469.416,62221.777
2040_2045,17614.34,52907.06,15.576,33.402,1603.78,15978.442,55.579,4500.821
2045_2050,26564.97,93119.88,31.331,71.356,4757.501,47634.13,416.004,60597.828
