Phases,capex_F_CO,capex_F_M,capex_B_CO,capex_B_M,capex_G_CO,capex_G_M,capex_H_CO,capex_H_M,opex_F_CO,opex_F_M,opex_B_CO,opex_B_M,opex_G_CO,opex_G_M,opex_H_CO,opex_H_M
2015_2020,4.226,3.79,0.008,0.011,0.65,2.338,0.714,2.026,7.105,0.421,0.052,0.0,4.564,0.0,4.259,0.0
2020_2025,2.095,2.717,0.003,0.003,0.047,0.359,0.021,0.025,6.746,0.21,0.054,0.0,4.624,0.0,4.321,0.0
2025_2030,1.757,2.514,0.005,0.006,0.146,1.383,0.298,15.7,5.901,0.0,0.056,0.0,4.903,0.0,3.499,0.0
2030_2035,0.932,10.649,0.004,0.016,3.737,12.195,0.021,1.135,5.455,0.0,0.069,0.0,5.089,0.0,2.608,0.0
2035_2040,0.627,3.773,0.016,0.017,0.036,0.086,0.124,16.879,5.406,0.0,0.079,0.0,5.05,0.0,2.493,0.0
2040_2045,0.655,4.911,0.003,0.004,0.122,1.181,0.008,0.638,6.068,0.0,0.082,0.0,5.031,0.0,2.258,0.0
2045_2050,1.451,19.148,0.008,0.025,4.173,13.758,0.112,17.758,6.774,0.0,0.088,0.0,5.069,0.0,2.162,0.0
