Year,Value
YEAR_2015,0.0
YEAR_2020,0.0
YEAR_2025,0.056
YEAR_2030,0.094
YEAR_2035,0.15
YEAR_2040,0.206
YEAR_2045,0.281
YEAR_2050,0.412
