Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	IMPORTED_GAS	WOOD	WET_BIOMASS	IMPORTED_COAL	LOCAL_COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	H2_EXPORT	GAS_RE_EXPORT	AMMONIA_EXPORT	METHANOL_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	PT_HEAT	ST_HEAT	NUCLEAR	CCGT	CCGT_AMMONIA	IMPORTED_COAL_CENTRAL	LOCAL_COAL_CENTRAL	BIOMASS_TO_POWER	PV_ROOFTOP	PV_UTILITY	PT_POWER_BLOCK	ST_POWER_BLOCK	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_DAM	HYDRO_RIVER	TIDAL	WAVE	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	COAL_STOVE	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	DEC_THHP_GAS_COLD	DEC_ELEC_COLD	IND_ELEC_COLD	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_GASOLINE	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	MOTORCYCLE	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	MOTORCYCLE_ELECTRIC	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRUCK_DIESEL	TRUCK_GASOLINE	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	SYN_METHANOLATION	METHANE_TO_METHANOL	BIOMASS_TO_METHANOL	EFFICIENCY	H2_INFRASTRUCTURE	CHARGING_STATION	DHN	GRID	HVAC_LINE	PT_COLLECTOR	ST_COLLECTOR	H2_ELECTROLYSIS	SMR	H2_BIOMASS	GASIFICATION_SNG	SYN_METHANATION	BIOMETHANATION	BIO_HYDROLYSIS	PYROLYSIS_TO_LFO	PYROLYSIS_TO_FUELS	ATM_CCS	INDUSTRY_CCS	AMMONIA_TO_H2	DAM_STORAGE_Pin	DAM_STORAGE_Pout	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_COAL_STOVE_Pin	TS_COAL_STOVE_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	PT_STORAGE_Pin	PT_STORAGE_Pout	ST_STORAGE_Pin	ST_STORAGE_Pout	TS_COLD_Pin	TS_COLD_Pout	CAES_Pin	CAES_Pout	END_USE	
 3 	 8																																																																																					0.000000	1.194189																																																																																																																			-0.439180	0.000042			-0.755051	
 3 	 9																																																																																					0.000000	1.194190																																																																																																																			-0.223741	0.000039			-0.970488	
 3 	 10																																																																																					0.000000	1.194191																																																																																																																			-0.000036	0.013544			-1.207699	
 3 	 11																																																																																					0.000000	1.194191																																																																																																																			-0.000039	0.197439			-1.391591	
 3 	 12																																																																																					0.000000	1.194191																																																																																																																			-0.000039	0.260648			-1.454800	
 3 	 13																																																																																					0.000000	1.194190																																																																																																																			-0.000039	0.263802			-1.457953	
 3 	 14																																																																																					0.000000	1.194190																																																																																																																			-0.000037	0.188839			-1.382992	
 3 	 15																																																																																					0.000000	1.194190																																																																																																																			-0.000035	0.069872			-1.264028	
 3 	 16																																																																																					0.000000	1.194185																																																																																																																			-0.066645	0.000038			-1.127578	
 3 	 17																																																																																					0.000000	0.937717																																																																																																																			-0.000039	0.063768			-1.001447	
 3 	 18																																																																																					0.000000	0.860656																																																																																																																			-0.000042	0.000369			-0.860984	
 3 	 19																																																																																					0.000000	0.743826																																																																																																																			-0.000043	0.000250			-0.744034	
 3 	 20																																																																																					0.000000	0.678361																																																																																																																			-0.000041	0.000463			-0.678783	
 3 	 21																																																																																					0.000000	0.644947																																																																																																																			-0.000954	0.000046			-0.644039	
 3 	 22																																																																																					0.000000	0.694786																																																																																																																			-0.064350	0.000044			-0.630480	
 3 	 23																																																																																					0.000000	1.194178																																																																																																																			-0.569669	0.000039			-0.624548	
 3 	 24																																																																																					0.000000	1.194187																																																																																																																			-0.573911	0.000035			-0.620311	
 4 	 1																																																																																					0.000000	0.000066																																																																																																																			-0.000022	0.621962			-0.622006	
 4 	 2																																																																																					0.000000	0.083435																																																																																																																			-0.000023	0.538594			-0.622006	
 4 	 3																																																																																					0.000000	0.616035																																																																																																																			-0.000036	0.000075			-0.616074	
 4 	 4																																																																																					0.000000	0.610181																																																																																																																			-0.000076	0.000037			-0.610142	
 4 	 5																																																																																					0.000000	1.112460																																																																																																																			-0.496411	0.000025			-0.616074	
 4 	 6																																																																																					0.000000	1.194160																																																																																																																			-0.589976	0.000026			-0.604210	
 4 	 7																																																																																					0.000000	1.194176																																																																																																																			-0.567113	0.000028			-0.627090	
 4 	 8																																																																																					0.000000	1.194178																																																																																																																			-0.399325	0.000027			-0.794880	
 4 	 9																																																																																					0.000000	1.194180																																																																																																																			-0.110199	0.000023			-1.084005	
 4 	 10																																																																																					0.000000	1.194190																																																																																																																			-0.000024	0.130061			-1.324226	
 4 	 11																																																																																					0.000000	1.194190																																																																																																																			-0.000026	0.299049			-1.493212	
 4 	 12																																																																																					0.000000	1.194189																																																																																																																			-0.000027	0.403394			-1.597557	
 4 	 13																																																																																					0.000000	1.194189																																																																																																																			-0.000027	0.419161			-1.613323	
 4 	 14																																																																																					0.000000	1.194188																																																																																																																			-0.000026	0.364123			-1.558284	
 4 	 15																																																																																					0.000000	1.194188																																																																																																																			-0.000025	0.263217			-1.457380	
 4 	 16																																																																																					0.000000	1.194189																																																																																																																			-0.000023	0.135507			-1.329673	
 4 	 17																																																																																					0.000000	1.174203																																																																																																																			-0.000785	0.000025			-1.173443	
 4 	 18																																																																																					0.000000	0.988659																																																																																																																			-0.000153	0.000041			-0.988547	
 4 	 19																																																																																					0.000000	0.850565																																																																																																																			-0.000084	0.000040			-0.850521	
 4 	 20																																																																																					0.000000	0.788991																																																																																																																			-0.000080	0.000036			-0.788948	
 4 	 21																																																																																					0.000000	0.767920																																																																																																																			-0.000187	0.000030			-0.767762	
 4 	 22																																																																																					0.000000	1.071354																																																																																																																			-0.312091	0.000025			-0.759288	
 4 	 23																																																																																					0.000000	1.194151																																																																																																																			-0.445054	0.000022			-0.749119	
 4 	 24																																																																																					0.000000	1.194178																																																																																																																			-0.453552	0.000019			-0.740645	
 5 	 1																																																																																					0.000000	0.000007																																																																																																																			-0.000007	0.687257			-0.687257	
 5 	 2																																																																																					0.000000	0.197052																																																																																																																			-0.000007	0.475805			-0.672851	
 5 	 3																																																																																					0.000000	0.639777																																																																																																																			-0.000010	0.000035			-0.639802	
 5 	 4																																																																																					0.000000	0.613532																																																																																																																			-0.000016	0.000016			-0.613532	
 5 	 5																																																																																					0.000000	0.592369																																																																																																																			-0.000033	0.000010			-0.592346	
 5 	 6																																																																																					0.000000	1.186881																																																																																																																			-0.621660	0.000008			-0.565229	
 5 	 7																																																																																					0.000000	1.194179																																																																																																																			-0.585741	0.000009			-0.608447	
 5 	 8																																																																																					0.000000	1.194192																																																																																																																			-0.370508	0.000009			-0.823692	
 5 	 9																																																																																					0.000000	1.194193																																																																																																																			-0.124815	0.000008			-1.069386	
 5 	 10																																																																																					0.000000	1.194193																																																																																																																			-0.000008	0.076293			-1.270478	
 5 	 11																																																																																					0.000000	1.194193																																																																																																																			-0.000008	0.214750			-1.408934	
 5 	 12																																																																																					0.000000	1.194193																																																																																																																			-0.000009	0.293295			-1.487479	
 5 	 13																																																																																					0.000000	1.194193																																																																																																																			-0.000009	0.315941			-1.510125	
 5 	 14																																																																																					0.000000	1.194193																																																																																																																			-0.000008	0.290142			-1.484326	
