Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	IMPORTED_GAS	WOOD	WET_BIOMASS	IMPORTED_COAL	LOCAL_COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	H2_EXPORT	GAS_RE_EXPORT	AMMONIA_EXPORT	METHANOL_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	PT_HEAT	ST_HEAT	NUCLEAR	CCGT	CCGT_AMMONIA	IMPORTED_COAL_CENTRAL	LOCAL_COAL_CENTRAL	BIOMASS_TO_POWER	PV_ROOFTOP	PV_UTILITY	PT_POWER_BLOCK	ST_POWER_BLOCK	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_DAM	HYDRO_RIVER	TIDAL	WAVE	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	COAL_STOVE	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	DEC_THHP_GAS_COLD	DEC_ELEC_COLD	IND_ELEC_COLD	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_GASOLINE	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	MOTORCYCLE	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	MOTORCYCLE_ELECTRIC	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRUCK_DIESEL	TRUCK_GASOLINE	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	SYN_METHANOLATION	METHANE_TO_METHANOL	BIOMASS_TO_METHANOL	EFFICIENCY	DHN	GRID	HVAC_LINE	PT_COLLECTOR	ST_COLLECTOR	H2_ELECTROLYSIS	SMR	H2_BIOMASS	GASIFICATION_SNG	SYN_METHANATION	BIOMETHANATION	BIO_HYDROLYSIS	PYROLYSIS_TO_LFO	PYROLYSIS_TO_FUELS	ATM_CCS	INDUSTRY_CCS	AMMONIA_TO_H2	DAM_STORAGE_Pin	DAM_STORAGE_Pout	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_COAL_STOVE_Pin	TS_COAL_STOVE_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	PT_STORAGE_Pin	PT_STORAGE_Pout	ST_STORAGE_Pin	ST_STORAGE_Pout	TS_COLD_Pin	TS_COLD_Pout	CAES_Pin	CAES_Pout	END_USE	
 2 	 21																												0.000002														0.000000	0.000000																													0.000000											0.000000																																												-0.000001	-0.000001																																																																											0.000000	
 2 	 22																												0.000002														0.000000	0.000000																													0.000000											0.000000																																												-0.000001	-0.000001																																																																											0.000000	
 2 	 23																												0.000001														0.000000	0.000000																													0.000000											0.000000																																												-0.000001	-0.000000																																																																											0.000000	
 2 	 24																												0.000000														0.000000	0.000000																													0.000000											0.000000																																												0.000000	0.000000																																																																											0.000000	
 3 	 1																												0.000000														0.000000	0.000000																													0.000000											0.000000																																												0.000000	0.000000																																																																											0.000000	
 3 	 2																												0.000000														0.000000	0.000000																													0.000000											0.000000																																												0.000000	0.000000																																																																											0.000000	
 3 	 3																												0.000000														0.000000	0.000000																													0.000000											0.000000																																												0.000000	0.000000																																																																											0.000000	
 3 	 4																												0.000000														0.000000	0.000000																													0.000000											0.000000																																												0.000000	0.000000																																																																											0.000000	
 3 	 5																												0.000000														0.000000	0.000000																													0.000000											0.000000																																												0.000000	0.000000																																																																											0.000000	
 3 	 6																												0.000000														0.000000	0.000000																													0.000000											0.000000																																												0.000000	0.000000																																																																											0.000000	
 3 	 7																												8.312445														-0.021970	-8.290475																													-0.000000											-0.000000																																												0.000000	0.000000																																																																											0.000000	
 3 	 8																												30.389996														-0.080317	-30.309667																													-0.000003											-0.000009																																												0.000000	0.000000																																																																											0.000000	
 3 	 9																												49.455286														-0.130709	-49.324518																													-0.000014											-0.000046																																												0.000000	0.000000																																																																											0.000000	
 3 	 10																												60.513169														-0.159931	-60.353127																													-0.000014											-0.000098																																												0.000000	0.000000																																																																											0.000000	
 3 	 11																												65.584581														-0.173332	-65.411075																													-0.000032											-0.000142																																												0.000000	0.000000																																																																											0.000000	
 3 	 12																												66.385351														-0.175448	-66.209698																													-0.000032											-0.000172																																												0.000000	0.000000																																																																											0.000000	
 3 	 13																												59.102455														-0.156202	-58.946028																													-0.000032											-0.000187																																												-0.000003	-0.000002																																																																											0.000000	
 3 	 14																												47.053237														-0.124361	-46.928648																													-0.000032											-0.000186																																												-0.000006	-0.000005																																																																											0.000000	
 3 	 15																												36.872391														-0.097456	-36.774722																													-0.000032											-0.000170																																												-0.000005	-0.000005																																																																											0.000000	
 3 	 16																												26.348330														-0.069636	-26.278520																													-0.000032											-0.000131																																												-0.000005	-0.000005																																																																											0.000000	
 3 	 17																												12.811951														-0.033861	-12.777982																													-0.000014											-0.000083																																												-0.000005	-0.000005																																																																											0.000000	
 3 	 18																												1.105835														-0.002922	-1.102861																													-0.000006											-0.000034																																												-0.000005	-0.000005																																																																											0.000000	
 3 	 19																												0.000013														0.000000	0.000000																													-0.000001											-0.000002																																												-0.000005	-0.000005																																																																											0.000000	
 3 	 20																												0.000011														0.000000	0.000000																													0.000000											0.000000																																												-0.000005	-0.000005																																																																											0.000000	
 3 	 21																												0.000011														0.000000	0.000000																													0.000000											0.000000																																												-0.000005	-0.000005																																																																											0.000000	
 3 	 22																												0.000011														0.000000	0.000000																													0.000000											0.000000																																												-0.000005	-0.000005																																																																											0.000000	
 3 	 23																												0.000005														0.000000	0.000000																													0.000000											0.000000																																												-0.000002	-0.000002																																																																											0.000000	
 3 	 24																												0.000000														0.000000	0.000000																													0.000000											0.000000																																												0.000000	0.000000																																																																											0.000000	
 4 	 1																												0.000000														0.000000	0.000000																													0.000000											0.000000																																												0.000000	0.000000																																																																											0.000000	
 4 	 2																												0.000000														0.000000	0.000000																													0.000000											0.000000																																												0.000000	0.000000																																																																											0.000000	
 4 	 3																												0.000000														0.000000	0.000000																													0.000000											0.000000																																												0.000000	0.000000																																																																											0.000000	
 4 	 4																												0.000000														0.000000	0.000000																													0.000000											0.000000																																												0.000000	0.000000																																																																											0.000000	
 4 	 5																												0.000000														0.000000	0.000000																													0.000000											0.000000																																												0.000000	0.000000																																																																											0.000000	
 4 	 6																												0.000000														0.000000	0.000000																													0.000000											0.000000																																												0.000000	0.000000																																																																											0.000000	
 4 	 7																												6.329659														-0.016729	-6.312930																													-0.000000											-0.000000																																												0.000000	0.000000																																																																											0.000000	
 4 	 8																												22.840167														-0.060362	-22.779790																													-0.000003											-0.000012																																												0.000000	0.000000																																																																											0.000000	
 4 	 9																												38.969398														-0.102990	-38.866346																													-0.000008											-0.000054																																												0.000000	0.000000																																																																											0.000000	
 4 	 10																												50.942428														-0.134630	-50.807667																													-0.000017											-0.000114																																												0.000000	0.000000																																																																											0.000000	
 4 	 11																												57.882224														-0.152969	-57.729070																													-0.000017											-0.000167																																												0.000000	0.000000																																																																											0.000000	
 4 	 12																												63.449308														-0.167681	-63.281404																													-0.000018											-0.000206																																												0.000000	0.000000																																																																											0.000000	
 4 	 13																												61.924112														-0.163650	-61.760217																													-0.000018											-0.000224																																												-0.000001	-0.000001																																																																											0.000000	
 4 	 14																												52.010198														-0.137452	-51.872499																													-0.000018											-0.000225																																												-0.000003	-0.000003																																																																											0.000000	
 4 	 15																												39.007693														-0.103091	-38.904376																													-0.000018											-0.000203																																												-0.000003	-0.000003																																																																											0.000000	
 4 	 16																												26.958427														-0.071249	-26.886996																													-0.000017											-0.000159																																												-0.000003	-0.000003																																																																											0.000000	
 4 	 17																												12.201874														-0.032249	-12.169503																													-0.000017											-0.000100																																												-0.000003	-0.000003																																																																											0.000000	
 4 	 18																												1.029577														-0.002721	-1.026802																													-0.000008											-0.000038																																												-0.000006	-0.000003																																																																											0.000000	
 4 	 19																												0.000008														0.000000	0.000000																													-0.000001											-0.000002																																												-0.000003	-0.000003																																																																											0.000000	
 4 	 20																												0.000005														0.000000	0.000000																													0.000000											0.000000																																												-0.000003	-0.000002																																																																											0.000000	
 4 	 21																												0.000005														0.000000	0.000000																													0.000000											0.000000																																												-0.000003	-0.000002																																																																											0.000000	
 4 	 22																												0.000005														0.000000	0.000000																													0.000000											0.000000																																												-0.000003	-0.000002																																																																											0.000000	
 4 	 23																												0.000002														0.000000	0.000000																													0.000000											0.000000																																												-0.000001	-0.000001																																																																											0.000000	
 4 	 24																												0.000000														0.000000	0.000000																													0.000000											0.000000																																												0.000000	0.000000																																																																											0.000000	
 5 	 1																												0.000000														0.000000	0.000000																													0.000000											0.000000																																												0.000000	0.000000																																																																											0.000000	
 5 	 2																												0.000000														0.000000	0.000000																													0.000000											0.000000																																												0.000000	0.000000																																																																											0.000000	
 5 	 3																												0.000000														0.000000	0.000000																													0.000000											0.000000																																												0.000000	0.000000																																																																											0.000000	
 5 	 4																												0.000000														0.000000	0.000000																													0.000000											0.000000																																												0.000000	0.000000																																																																											0.000000	
 5 	 5																												0.000000														0.000000	0.000000																													0.000000											0.000000																																												0.000000	0.000000																																																																											0.000000	
 5 	 6																												0.000000														0.000000	0.000000																													0.000000											0.000000																																												0.000000	0.000000																																																																											0.000000	
 5 	 7																												9.341965														-0.024690	-9.317275																													-0.000000											-0.000000																																												0.000000	0.000000																																																																											0.000000	
 5 	 8																												32.334644														-0.085453	-32.249177																													-0.000002											-0.000012																																												0.000000	0.000000																																																																											0.000000	
 5 	 9																												57.005100														-0.150652	-56.854387																													-0.000009											-0.000051																																												0.000000	0.000000																																																																											0.000000	
 5 	 10																												72.911427														-0.106609	-72.804707																													-0.000010											-0.000101																																												0.000000	0.000000																																																																											0.000000	
 5 	 11																												77.527497														-0.121588	-77.405750																													-0.000010											-0.000149																																												0.000000	0.000000																																																																											0.000000	
 5 	 12																												79.367973														-0.133283	-79.234494																													-0.000010											-0.000185																																												0.000000	0.000000																																																																											0.000000	
 5 	 13																												79.620787														-0.130656	-79.489914																													-0.000010											-0.000205																																												-0.000001	-0.000001																																																																											0.000000	
 5 	 14																												77.745067														-0.116268	-77.628588																													-0.000010											-0.000197																																												-0.000002	-0.000001																																																																											0.000000	
 5 	 15																												69.893314														-0.184710	-69.708421																													-0.000010											-0.000171																																												-0.000001	-0.000001																																																																											0.000000	
 5 	 16																												47.358176														-0.125159	-47.232877																													-0.000010											-0.000127																																												-0.000002	-0.000002																																																																											0.000000	
 5 	 17																												20.971846														-0.055425	-20.916331																													-0.000009											-0.000077																																												-0.000002	-0.000002																																																																											0.000000	
 5 	 18																												1.792171														-0.004736	-1.787396																													-0.000004											-0.000030																																												-0.000002	-0.000002																																																																											0.000000	
 5 	 19																												0.000007														0.000000	0.000000																													-0.000001											-0.000003																																												-0.000002	-0.000002																																																																											0.000000	
 5 	 20																												0.000003														0.000000	0.000000																													0.000000											0.000000																																												-0.000002	-0.000002																																																																											0.000000	
