Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	IMPORTED_GAS	WOOD	WET_BIOMASS	IMPORTED_COAL	LOCAL_COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	H2_EXPORT	GAS_RE_EXPORT	AMMONIA_EXPORT	METHANOL_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	PT_HEAT	ST_HEAT	NUCLEAR	CCGT	CCGT_AMMONIA	IMPORTED_COAL_CENTRAL	LOCAL_COAL_CENTRAL	BIOMASS_TO_POWER	PV_ROOFTOP	PV_UTILITY	PT_POWER_BLOCK	ST_POWER_BLOCK	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_DAM	HYDRO_RIVER	TIDAL	WAVE	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	COAL_STOVE	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	DEC_THHP_GAS_COLD	DEC_ELEC_COLD	IND_ELEC_COLD	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_GASOLINE	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	MOTORCYCLE	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	MOTORCYCLE_ELECTRIC	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRUCK_DIESEL	TRUCK_GASOLINE	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	SYN_METHANOLATION	METHANE_TO_METHANOL	BIOMASS_TO_METHANOL	EFFICIENCY	H2_INFRASTRUCTURE	CHARGING_STATION	DHN	GRID	HVAC_LINE	PT_COLLECTOR	ST_COLLECTOR	H2_ELECTROLYSIS	SMR	H2_BIOMASS	GASIFICATION_SNG	SYN_METHANATION	BIOMETHANATION	BIO_HYDROLYSIS	PYROLYSIS_TO_LFO	PYROLYSIS_TO_FUELS	ATM_CCS	INDUSTRY_CCS	AMMONIA_TO_H2	DAM_STORAGE_Pin	DAM_STORAGE_Pout	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_COAL_STOVE_Pin	TS_COAL_STOVE_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	PT_STORAGE_Pin	PT_STORAGE_Pout	ST_STORAGE_Pin	ST_STORAGE_Pout	TS_COLD_Pin	TS_COLD_Pout	CAES_Pin	CAES_Pout	END_USE	
 3 	 16																											3.512288																			-0.000000	-3.512288																																																																																																																																																														0.000000	
 3 	 17																											3.595926																			-0.000000	-3.595926																																																																																																																																																														0.000000	
 3 	 18																											3.951372																			-0.000000	-3.951371																																																																																																																																																														0.000000	
 3 	 19																											4.806953																			-0.000001	-4.806953																																																																																																																																																														0.000000	
 3 	 20																											6.465585																			-0.000001	-6.465584																																																																																																																																																														0.000000	
 3 	 21																											8.648567																			-0.000001	-8.648567																																																																																																																																																														0.000000	
 3 	 22																											10.522710																			-0.000000	-10.522710																																																																																																																																																														0.000000	
 3 	 23																											12.060920																			-0.000000	-12.060920																																																																																																																																																														0.000000	
 3 	 24																											13.016605																			-0.000000	-13.016604																																																																																																																																																														0.000000	
 4 	 1																											12.978554																			-0.000000	-12.978554																																																																																																																																																														0.000000	
 4 	 2																											12.263757																			-0.000000	-12.263757																																																																																																																																																														0.000000	
 4 	 3																											11.293174																			-0.000000	-11.293174																																																																																																																																																														0.000000	
 4 	 4																											10.688923																			-0.000000	-10.688923																																																																																																																																																														0.000000	
 4 	 5																											10.240982																			-0.000000	-10.240982																																																																																																																																																														0.000000	
 4 	 6																											9.817230																			-0.000000	-9.817230																																																																																																																																																														0.000000	
 4 	 7																											9.218391																			-0.000000	-9.218391																																																																																																																																																														0.000000	
 4 	 8																											8.828934																			-0.000000	-8.828933																																																																																																																																																														0.000000	
 4 	 9																											8.558525																			-0.000000	-8.558525																																																																																																																																																														0.000000	
 4 	 10																											8.032270																			-0.000000	-8.032270																																																																																																																																																														0.000000	
 4 	 11																											7.497432																			-0.000000	-7.497432																																																																																																																																																														0.000000	
 4 	 12																											7.007977																			-0.000000	-7.007977																																																																																																																																																														0.000000	
 4 	 13																											6.557380																			-0.000000	-6.557380																																																																																																																																																														0.000000	
 4 	 14																											6.320841																			-0.000000	-6.320841																																																																																																																																																														0.000000	
 4 	 15																											6.329530																			-0.000000	-6.329530																																																																																																																																																														0.000000	
 4 	 16																											6.952434																			-0.000000	-6.952434																																																																																																																																																														0.000000	
 4 	 17																											7.904886																			-0.000000	-7.904886																																																																																																																																																														0.000000	
 4 	 18																											9.072505																			-0.000000	-9.072505																																																																																																																																																														0.000000	
 4 	 19																											11.073704																			-0.000000	-11.073703																																																																																																																																																														0.000000	
 4 	 20																											14.017381																			-0.000000	-14.017381																																																																																																																																																														0.000000	
 4 	 21																											17.099859																			-0.000000	-17.099859																																																																																																																																																														0.000000	
 4 	 22																											19.195298																			-0.000000	-19.195297																																																																																																																																																														0.000000	
 4 	 23																											20.464720																			-0.000000	-20.464720																																																																																																																																																														0.000000	
 4 	 24																											20.758936																			-0.000000	-20.758936																																																																																																																																																														0.000000	
 5 	 1																											28.206777																			-0.000000	-28.206777																																																																																																																																																														0.000000	
 5 	 2																											28.092405																			-0.000000	-28.092404																																																																																																																																																														0.000000	
 5 	 3																											28.508389																			-0.000000	-28.508389																																																																																																																																																														0.000000	
 5 	 4																											29.212717																			-0.000001	-29.212717																																																																																																																																																														0.000000	
 5 	 5																											30.178243																			-0.000001	-30.178242																																																																																																																																																														0.000000	
 5 	 6																											31.049501																			-0.000001	-31.049501																																																																																																																																																														0.000000	
 5 	 7																											31.534075																			-0.000001	-31.534074																																																																																																																																																														0.000000	
 5 	 8																											31.684771																			-0.000001	-31.684770																																																																																																																																																														0.000000	
 5 	 9																											30.625780																			-0.000001	-30.625780																																																																																																																																																														0.000000	
 5 	 10																											28.164953																			-0.000001	-28.164952																																																																																																																																																														0.000000	
 5 	 11																											27.213745																			-0.000001	-27.213744																																																																																																																																																														0.000000	
 5 	 12																											26.620766																			-0.000001	-26.620766																																																																																																																																																														0.000000	
 5 	 13																											25.779560																			-0.000000	-25.779559																																																																																																																																																														0.000000	
 5 	 14																											26.113228																			-0.000000	-26.113228																																																																																																																																																														0.000000	
 5 	 15																											27.893433																			-0.000000	-27.893433																																																																																																																																																														0.000000	
 5 	 16																											28.746673																			-0.000001	-28.746672																																																																																																																																																														0.000000	
 5 	 17																											29.420842																			-0.000001	-29.420842																																																																																																																																																														0.000000	
 5 	 18																											30.445498																			-0.000001	-30.445497																																																																																																																																																														0.000000	
 5 	 19																											31.587440																			-0.000001	-31.587439																																																																																																																																																														0.000000	
 5 	 20																											32.619597																			-0.000001	-32.619596																																																																																																																																																														0.000000	
 5 	 21																											33.268019																			-0.000001	-33.268018																																																																																																																																																														0.000000	
 5 	 22																											33.704800																			-0.000001	-33.704799																																																																																																																																																														0.000000	
 5 	 23																											33.921241																			-0.000001	-33.921241																																																																																																																																																														0.000000	
 5 	 24																											33.945403																			-0.000000	-33.945403																																																																																																																																																														0.000000	
 6 	 1																											16.829504																			-0.000000	-16.829504																																																																																																																																																														0.000000	
 6 	 2																											15.189083																			-0.000000	-15.189083																																																																																																																																																														0.000000	
 6 	 3																											13.467548																			-0.000000	-13.467548																																																																																																																																																														0.000000	
 6 	 4																											12.168871																			-0.000000	-12.168870																																																																																																																																																														0.000000	
 6 	 5																											11.713782																			-0.000000	-11.713782																																																																																																																																																														0.000000	
 6 	 6																											12.171652																			-0.000000	-12.171652																																																																																																																																																														0.000000	
